split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs,policy_action,fallback_action,fallback_used,predicted_action_margin,policy_action_score,runner_up_action_score
train,Vanilla BM25,bm25_keep,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.25,1.0,0.3903800499921017,0.0,1,8,0.75,Don’t Put Your Money Where Your Mouth Is,MED-4361 | MED-4512 | MED-3703 | MED-2022 | MED-1724,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,BM25 keyword,bm25_keyword,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.5,1.0,0.5413996682199069,0.0,1,7,1.0,don t put your money your mouth,MED-4361 | MED-3444 | MED-4512 | MED-2696 | MED-4972,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,Dense original,dense_keep,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.25,1.0,0.3903800499921017,0.0,1,8,0.75,Don’t Put Your Money Where Your Mouth Is,MED-4426 | MED-3761 | MED-2696 | MED-4130 | MED-2472,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,Dense keyword,dense_keyword,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.25,1.0,0.3903800499921017,0.0,1,7,0.75,don t put your money your mouth,MED-4426 | MED-3761 | MED-2696 | MED-4130 | MED-2472,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,Hybrid original,hybrid_keep,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.5,1.0,0.6366824387328317,0.03,2,8,0.97,Don’t Put Your Money Where Your Mouth Is,MED-4361 | MED-4426 | MED-3761 | MED-4512 | MED-2696,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,Hybrid keyword,hybrid_keyword,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.5,1.0,0.6366824387328317,0.03,2,7,0.97,don t put your money your mouth,MED-4361 | MED-4426 | MED-2696 | MED-3444 | MED-3761,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,Train-best retrieval action,dense_keep,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.25,1.0,0.3903800499921017,0.0,1,8,0.75,Don’t Put Your Money Where Your Mouth Is,MED-4426 | MED-3761 | MED-2696 | MED-4130 | MED-2472,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,Selective retrieval policy,bm25_keyword,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.5,1.0,0.5413996682199069,0.0,1,7,1.0,don t put your money your mouth,MED-4361 | MED-3444 | MED-4512 | MED-2696 | MED-4972,MED-4361 | MED-4426 | MED-4969 | MED-4972,bm25_keyword,,False,0.026196426591124977,0.7542135132725143,0.7280170866813893
train,Confidence-gated retrieval policy,dense_keep,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.25,1.0,0.3903800499921017,0.0,1,8,0.75,Don’t Put Your Money Where Your Mouth Is,MED-4426 | MED-3761 | MED-2696 | MED-4130 | MED-2472,MED-4361 | MED-4426 | MED-4969 | MED-4972,bm25_keyword,dense_keep,True,0.026196426591124977,0.7542135132725143,0.7280170866813893
train,Oracle retrieval action,bm25_keyword,PLAIN-2955,Don’t Put Your Money Where Your Mouth Is,0.5,1.0,0.5413996682199069,0.0,1,7,1.0,don t put your money your mouth,MED-4361 | MED-3444 | MED-4512 | MED-2696 | MED-4972,MED-4361 | MED-4426 | MED-4969 | MED-4972,,,,,,
train,Vanilla BM25,bm25_keep,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,6,0.7777777777777778,Is Kombucha Tea Good For You?,MED-4713 | MED-1844 | MED-1847 | MED-1837 | MED-1840,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,BM25 keyword,bm25_keyword,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,4,0.7777777777777778,kombucha tea good you,MED-4713 | MED-1844 | MED-1840 | MED-1845 | MED-1847,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,Dense original,dense_keep,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,6,0.7777777777777778,Is Kombucha Tea Good For You?,MED-1852 | MED-1837 | MED-1839 | MED-1841 | MED-1850,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,Dense keyword,dense_keyword,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,4,0.7777777777777778,kombucha tea good you,MED-1852 | MED-1837 | MED-1839 | MED-1841 | MED-1850,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,Hybrid original,hybrid_keep,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.03,2,6,0.7477777777777778,Is Kombucha Tea Good For You?,MED-1852 | MED-4713 | MED-1837 | MED-1844 | MED-1839,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,Hybrid keyword,hybrid_keyword,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.03,2,4,0.7477777777777778,kombucha tea good you,MED-1852 | MED-4713 | MED-1837 | MED-1844 | MED-1839,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,Train-best retrieval action,dense_keep,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,6,0.7777777777777778,Is Kombucha Tea Good For You?,MED-1852 | MED-1837 | MED-1839 | MED-1841 | MED-1850,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,Selective retrieval policy,bm25_keyword,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,4,0.7777777777777778,kombucha tea good you,MED-4713 | MED-1844 | MED-1840 | MED-1845 | MED-1847,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,bm25_keyword,,False,0.015317311618705642,0.6571398924352817,0.6418225808165761
train,Confidence-gated retrieval policy,dense_keep,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,6,0.7777777777777778,Is Kombucha Tea Good For You?,MED-1852 | MED-1837 | MED-1839 | MED-1841 | MED-1850,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,bm25_keyword,dense_keep,True,0.015317311618705642,0.6571398924352817,0.6418225808165761
train,Oracle retrieval action,bm25_keep,PLAIN-3179,Is Kombucha Tea Good For You?,0.2777777777777778,1.0,1.0,0.0,1,6,0.7777777777777778,Is Kombucha Tea Good For You?,MED-4713 | MED-1844 | MED-1847 | MED-1837 | MED-1840,MED-1836 | MED-1837 | MED-1838 | MED-1839 | MED-1840 | MED-1841 | MED-1842 | MED-1843 | MED-1844 | MED-1845 | MED-1846 | MED-1847 | MED-1848 | MED-1849 | MED-1850 | MED-1851 | MED-1852 | MED-4713,,,,,,
train,Vanilla BM25,bm25_keep,PLAIN-2189,Surgeon General,0.0,0.0,0.0,0.0,1,2,0.0,Surgeon General,MED-2882 | MED-5196 | MED-3763 | MED-4604 | MED-4469,MED-4172 | MED-4173,,,,,,
train,BM25 keyword,bm25_keyword,PLAIN-2189,Surgeon General,0.0,0.0,0.0,0.0,1,2,0.0,surgeon general,MED-2882 | MED-5196 | MED-3763 | MED-4604 | MED-4469,MED-4172 | MED-4173,,,,,,
train,Dense original,dense_keep,PLAIN-2189,Surgeon General,1.0,0.3333333333333333,0.5706417189553201,0.0,1,2,1.1666666666666667,Surgeon General,MED-1120 | MED-1097 | MED-4172 | MED-4173 | MED-5196,MED-4172 | MED-4173,,,,,,
train,Dense keyword,dense_keyword,PLAIN-2189,Surgeon General,1.0,0.3333333333333333,0.5706417189553201,0.0,1,2,1.1666666666666667,surgeon general,MED-1120 | MED-1097 | MED-4172 | MED-4173 | MED-5196,MED-4172 | MED-4173,,,,,,
train,Hybrid original,hybrid_keep,PLAIN-2189,Surgeon General,0.0,0.0,0.0,0.03,2,2,-0.03,Surgeon General,MED-1120 | MED-2882 | MED-5196 | MED-1097 | MED-3763,MED-4172 | MED-4173,,,,,,
train,Hybrid keyword,hybrid_keyword,PLAIN-2189,Surgeon General,0.0,0.0,0.0,0.03,2,2,-0.03,surgeon general,MED-1120 | MED-2882 | MED-5196 | MED-1097 | MED-3763,MED-4172 | MED-4173,,,,,,
train,Train-best retrieval action,dense_keep,PLAIN-2189,Surgeon General,1.0,0.3333333333333333,0.5706417189553201,0.0,1,2,1.1666666666666667,Surgeon General,MED-1120 | MED-1097 | MED-4172 | MED-4173 | MED-5196,MED-4172 | MED-4173,,,,,,
train,Selective retrieval policy,dense_keep,PLAIN-2189,Surgeon General,1.0,0.3333333333333333,0.5706417189553201,0.0,1,2,1.1666666666666667,Surgeon General,MED-1120 | MED-1097 | MED-4172 | MED-4173 | MED-5196,MED-4172 | MED-4173,dense_keep,,False,0.0,0.7908204977830183,0.7908204977830183
train,Confidence-gated retrieval policy,dense_keep,PLAIN-2189,Surgeon General,1.0,0.3333333333333333,0.5706417189553201,0.0,1,2,1.1666666666666667,Surgeon General,MED-1120 | MED-1097 | MED-4172 | MED-4173 | MED-5196,MED-4172 | MED-4173,dense_keep,dense_keep,True,0.0,0.7908204977830183,0.7908204977830183
train,Oracle retrieval action,dense_keep,PLAIN-2189,Surgeon General,1.0,0.3333333333333333,0.5706417189553201,0.0,1,2,1.1666666666666667,Surgeon General,MED-1120 | MED-1097 | MED-4172 | MED-4173 | MED-5196,MED-4172 | MED-4173,,,,,,
train,Vanilla BM25,bm25_keep,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.0,1,5,0.631578947368421,Milk Protein vs. Soy Protein,MED-5155 | MED-2501 | MED-2504 | MED-4289 | MED-2502,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,,,,,,
train,BM25 keyword,bm25_keyword,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.0,1,5,0.631578947368421,milk protein vs soy protein,MED-5155 | MED-2501 | MED-2504 | MED-4289 | MED-2502,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,,,,,,
train,Dense original,dense_keep,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.0,1,5,0.631578947368421,Milk Protein vs. Soy Protein,MED-4289 | MED-2592 | MED-2501 | MED-4292 | MED-4288,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,,,,,,
train,Dense keyword,dense_keyword,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.0,1,5,0.631578947368421,milk protein vs soy protein,MED-4289 | MED-2592 | MED-2501 | MED-4292 | MED-4288,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,,,,,,
train,Hybrid original,hybrid_keep,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.03,2,5,0.601578947368421,Milk Protein vs. Soy Protein,MED-4289 | MED-5155 | MED-2501 | MED-2592 | MED-2504,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,,,,,,
train,Hybrid keyword,hybrid_keyword,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.03,2,5,0.601578947368421,milk protein vs soy protein,MED-4289 | MED-5155 | MED-2501 | MED-2592 | MED-2504,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,,,,,,
train,Train-best retrieval action,dense_keep,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.0,1,5,0.631578947368421,Milk Protein vs. Soy Protein,MED-4289 | MED-2592 | MED-2501 | MED-4292 | MED-4288,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,,,,,,
train,Selective retrieval policy,bm25_keyword,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.0,1,5,0.631578947368421,milk protein vs soy protein,MED-5155 | MED-2501 | MED-2504 | MED-4289 | MED-2502,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,bm25_keyword,,False,0.004832696183701524,0.7045397317019522,0.6997070355182506
train,Confidence-gated retrieval policy,dense_keep,PLAIN-3437,Milk Protein vs. Soy Protein,0.13157894736842105,1.0,1.0,0.0,1,5,0.631578947368421,Milk Protein vs. Soy Protein,MED-4289 | MED-2592 | MED-2501 | MED-4292 | MED-4288,MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2517 | MED-2519 | MED-2592 | MED-2593 | MED-2594 | MED-2595 | MED-2596 | MED-2597 | MED-3148 | MED-3149 | MED-3815 | MED-3816 | MED-3817 | MED-3820 | MED-3821 | MED-4261 | MED-4286 | MED-4287 | MED-4288 | MED-4289 | MED-4290 | MED-4291 | MED-4292 | MED-4313 | MED-5155 | MED-5239,bm25_keyword,dense_keep,True,0.004832696183701524,0.7045397317019522,0.6997070355182506
