method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs
Selective bandit,keyword_compress,5adf3a0d5542992d7e9f92e8,"Mesilla Park, New Mexico is located on the south side of the seat of what county?",1.0,1.0,0.8503449055347546,0.0,1,9,1.5,mesilla park new mexico located south side seat county,"Mesilla Park, New Mexico | Mesilla Valley Bosque State Park | Butterfield Overland Mail in New Mexico Territory | Rincon Valley (New Mexico) | Las Cruces, New Mexico","Las Cruces, New Mexico | Mesilla Park, New Mexico"
Selective bandit,keyword_compress,5a714de95542994082a3e7a8,"Alexander Young, also known as George Alexander, is the uncle to which Scottish musician who replaced Malcolm Young in the band AC/DC in 2014?",1.0,1.0,1.0,0.0,1,16,1.5,alexander young also known george alexander uncle scottish musician replaced malcolm young band ac dc 2014,"Alexander Young (musician) | Stevie Young | Can I Sit Next to You, Girl | Powerage | List of awards and nominations received by AC/DC",Alexander Young (musician) | Stevie Young
Selective bandit,entity_expand,5ae762985542995703ce8c04,"Which single was recorded in 1989 at the first Tubronegro rehearsal by the Norwegian punk rock band, initially active from 1989 to 1998, whose style is ""deathpunk""?",1.0,1.0,1.0,0.0,1,15,1.5,Tubronegro Norwegian single recorded 1989 first rehearsal punk rock band initially active 1998 style deathpunk,Computech | Turbonegro | Wannskrækk | Area 12 (band) | The Suicide Machines,Computech | Turbonegro
Selective bandit,keyword_compress,5ae614215542992663a4f254,Name an American actress who starred both in High School High and General Hospital.,0.0,0.0,0.0,0.0,1,10,0.0,name american actress starred both high school high general hospital,"All Day, All Night | Charleston High School (West Virginia) | Alexander M. Patch American High School | Malinda Williams | Sarah Joy Brown",High School High | Tia Carrere
Selective bandit,keep,5a7723fa55429966f1a36ca0,"Which was published earlier, La Belle Assemblée or VIVmag?",1.0,1.0,0.8772153153380493,0.0,1,9,1.5,"Which was published earlier, La Belle Assemblée or VIVmag?",La Belle Assemblée | La Belle Cemetery | Lac La Belle and Calumet Railroad | VIVmag | La Belle (ship),La Belle Assemblée | VIVmag
Selective bandit,entity_expand,5a7ca55b55429907fabeefe0,How big is the campus of the University that Ben Bahan is a professor at ?,0.5,1.0,0.6131471927654584,0.04,1,8,0.96,University Ben Bahan big campus ben bahan professor,Ben Bahan | Midway College School of Pharmacy | American Sign Language literature | Sign Gene | Central University of South Bihar,Ben Bahan | Gallaudet University
Selective bandit,keep,5a88a35c554299206df2b316,Who is the head of state of the territory where the Ibrahim-al-Ibrahim Mosque is located??,0.5,1.0,0.6131471927654584,0.0,1,15,1.0,Who is the head of state of the territory where the Ibrahim-al-Ibrahim Mosque is located??,"Ibrahim-al-Ibrahim Mosque | Europa Road | Keightley Way | Begumpur Mosque, Dindigul | An-Nur Kota Raya Mosque",British Overseas Territories | Ibrahim-al-Ibrahim Mosque
Selective bandit,keyword_compress,5ab56b9b5542997d4ad1f113,"What is this fictional scientifically and technologically advanced militaristic alien race, from which Sequoia descends, is called?",1.0,1.0,0.8503449055347546,0.0,1,10,1.5,fictional scientifically technologically advanced militaristic alien race sequoia descends called,Kree | Acuson | Ancient (Stargate) | Nessus (Pierson's Puppeteer) | Sequoia (comics),Kree | Sequoia (comics)
Selective bandit,keep,5a8f7a7055429918e830d230,The Midland Regional Hospital in managed by what cabinet that exercises executive authority in the Republic of Ireland?,0.5,1.0,0.6131471927654584,0.0,1,18,1.0,The Midland Regional Hospital in managed by what cabinet that exercises executive authority in the Republic of Ireland?,"Government of Ireland | Union Council of Ministers | Government of Hungary | Midland Regional Hospital, Tullamore | University Hospital Limerick","Government of Ireland | Midland Regional Hospital, Portlaoise"
Selective bandit,keyword_compress,5a716ec85542994082a3e82d,"Which movie was filmed first ""The Guest"" or ""You're Next""?",1.0,1.0,1.0,0.0,1,7,1.5,movie filmed first guest you re next,You're Next | The Guest (film) | Rose Marie (1954 film) | Asturian cinema | K. Ravindran Nair,The Guest (film) | You're Next
Selective bandit,keep,5a7cb9b95542990527d55515,"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",1.0,1.0,0.9197207891481876,0.0,1,21,1.5,"What is the year of the event that occured first, Making Today a Perfect Day was produced, or Frozen was produced?",Making Today a Perfect Day | Shaggy Dog Story (TV) | Frozen Fever | Perfect Day (Jim Jones song) | One Perfect Day (Lydia Denker song),Frozen Fever | Making Today a Perfect Day
Selective bandit,entity_expand,5a8341c255429954d2e2ec6e,Thehickey  team that won the 1997 Calder Cup playoffs is based in what city?,1.0,1.0,1.0,0.04,1,11,1.46,Thehickey Calder Cup team won 1997 calder cup playoffs based city,Hershey Bears | 1997 Calder Cup playoffs | 2007 Calder Cup playoffs | 1972 Calder Cup playoffs | 1979 Calder Cup playoffs,1997 Calder Cup playoffs | Hershey Bears
Selective bandit,keep,5ae72a975542991e8301cb75,Which 2003 action-adventure platforming video game was written by Reid Harrison?,1.0,1.0,0.9197207891481876,0.0,1,11,1.5,Which 2003 action-adventure platforming video game was written by Reid Harrison?,Reid Harrison | Vexx | Tak and the Power of Juju | Prince of Persia (2008 video game) | Castlevania: Legacy of Darkness,Reid Harrison | Tak and the Power of Juju
Selective bandit,keep,5ae0ba9055429924de1b715c,Tony Leung Ka-fai is a four time winner of the award that has been on offer since what month?,1.0,1.0,0.8503449055347546,0.0,1,19,1.5,Tony Leung Ka-fai is a four time winner of the award that has been on offer since what month?,Tony Leung Ka-fai | Castrol Six Hour (New Zealand) | The Christ of Nanjing | The Twins Effect II | Hong Kong Film Award,Hong Kong Film Award | Tony Leung Ka-fai
Selective bandit,keyword_compress,5a72a6d855429901807daf27,"Of four Harry S. Truman Supreme Court candidates, who was the 53rd United States Secretary of the Treasury and the 13th Chief Justice of the United States?",1.0,1.0,1.0,0.0,1,17,1.5,four harry s truman supreme court candidates 53rd united states secretary treasury 13th chief justice united states,Harry S. Truman Supreme Court candidates | Fred M. Vinson | Taft Court | Jay Court | Chief Justice,Fred M. Vinson | Harry S. Truman Supreme Court candidates
Selective bandit,keep,5ac3b62b554299741d48a2f6,Augustus Jesse Bowie Jr was the innovator of the switch that was crucial to leading to the passage of which federal legislation in 1936?,0.5,1.0,0.6131471927654584,0.0,1,24,1.0,Augustus Jesse Bowie Jr was the innovator of the switch that was crucial to leading to the passage of which federal legislation in 1936?,Augustus Jesse Bowie Jr. | General Revision Act | Federal Power Act | Steerage Act of 1819 | Commodity Futures Modernization Act of 2000,Augustus Jesse Bowie Jr. | Rural Electrification Act
Selective bandit,keyword_compress,5adf099a5542992d7e9f927f,"Which airport is located in the state of Georgia, Brunswick Golden Isles Airport or Lafayette Regional Airport?",1.0,1.0,0.8503449055347546,0.0,1,11,1.5,airport located state georgia brunswick golden isles airport lafayette regional airport,Lafayette Regional Airport | Golden Isles of Georgia | College of Coastal Georgia | Atlanta South Regional Airport | Brunswick Golden Isles Airport,Brunswick Golden Isles Airport | Lafayette Regional Airport
Selective bandit,keep,5a82f05255429966c78a6aa2,"Stanley ""Tookie"" Williams founded which African-American gang in Los Angeles, California in 1969?",0.5,0.5,0.38685280723454163,0.0,1,13,0.75,"Stanley ""Tookie"" Williams founded which African-American gang in Los Angeles, California in 1969?",Stanley Williams | Crips | Veronica Hendrix | Barriox13 | Cle Shaheed Sloan,Crips | Malcolm Mays
Selective bandit,keyword_compress,5a8e82ff5542995a26add4e2,Which pistol was replaced by a pistol manufactured by Spreewerk?,0.5,1.0,0.6131471927654584,0.0,1,5,1.0,pistol replaced pistol manufactured spreewerk,Spreewerk | Star Ultrastar | Harper's Ferry Model 1805 | Steyr TMP | Heckler &amp; Koch VP70,Spreewerk | Walther P38
Selective bandit,keep,5abc2e1c554299700f9d7806,How many months apart are Johan Mjällby and Neil Lennon in age?,0.5,1.0,0.6131471927654584,0.0,1,12,1.0,How many months apart are Johan Mjällby and Neil Lennon in age?,Johan Mjällby | Residential Drug Abuse Program | Urethrorrhagia | Cathy Scott | Sega Visions,Johan Mjällby | Neil Lennon
Selective bandit,keyword_compress,5a73cf5e55429978a71e909f,"After coaching the red raiders to several winning seasons, where does Mike Leach currently coach at?",0.5,1.0,0.6131471927654584,0.0,1,11,1.0,after coaching red raiders several winning seasons mike leach currently coach,Mike Leach (American football coach) | Ruffin McNeill | 2000 Texas Tech Red Raiders football team | 2009 Texas Tech Red Raiders football team | 2003 Texas Tech Red Raiders football team,2012 Washington State Cougars football team | Mike Leach (American football coach)
Selective bandit,keyword_compress,5a7327265542994cef4bc480,"Which actor appeared in the films ""Just My Luck"" and ""Into the Woods""?",1.0,1.0,1.0,0.0,1,8,1.5,actor appeared films just my luck into woods,Just My Luck (2006 film) | Chris Pine | Neil Affleck | Babu (actor) | John Maxwell (actor),Chris Pine | Just My Luck (2006 film)
Selective bandit,keep,5a7cdf89554299683c1c63b0,The Environment Act 1995 passed under the tutelage of a politician associated with what political party?,1.0,1.0,1.0,0.0,1,16,1.5,The Environment Act 1995 passed under the tutelage of a politician associated with what political party?,Environment Act 1995 | John Gummer | English trust law | Rights of the Terminally Ill Act 1995 | Slum Rehabilitation Act 1995,Environment Act 1995 | John Gummer
Selective bandit,keyword_compress,5a8e41735542995085b37406,"What is the county seat of the county in which Keokuk Falls, Oklahoma is loated?",1.0,1.0,1.0,0.0,1,7,1.5,county seat county keokuk falls oklahoma loated,"Keokuk Falls, Oklahoma | Shawnee, Oklahoma | McIntosh County Seat War | Sigourney, Iowa | Fort Madison, Iowa","Keokuk Falls, Oklahoma | Shawnee, Oklahoma"
Selective bandit,keyword_compress,5abbe4c0554299642a094bc0,Rolls-Royce Welland's name is taken from this river that is low long,1.0,1.0,0.8503449055347546,0.0,1,9,1.5,rolls royce welland s name taken river low long,Rolls-Royce Welland | Rolls-Royce Turbomeca Adour | River Chater | River Gwash | River Welland,River Welland | Rolls-Royce Welland
Selective bandit,keyword_compress,5abbd4035542993f40c73bcb,"""Show 'Em (What You're Made Of)"" is a song written by a group of people including an American singer/songwriter who was inducted into what on April 10, 2015?",1.0,1.0,0.9197207891481876,0.0,1,18,1.5,show em you re made song written group people including american singer songwriter inducted into april 10 2015,Kevin Richardson (musician) | Backstreet Boys: Show 'Em What You're Made Of | Show 'Em (What You're Made Of) | Triumphant (Get 'Em) | Loving You Could Never Be Better,Kevin Richardson (musician) | Show 'Em (What You're Made Of)
Selective bandit,keep,5ac10832554299012d1db687,"How many episodes were in the 23rd season of a Fox network show which, in it's twenty-second season, aired it's twenty-first episode which was written by John Frink and directed by Bob Anderson.",1.0,1.0,0.8772153153380493,0.0,1,33,1.5,"How many episodes were in the 23rd season of a Fox network show which, in it's twenty-second season, aired it's twenty-first episode which was written by John Frink and directed by Bob Anderson.",500 Keys | John Frink | Stop! Or My Dog Will Shoot | The Simpsons (season 22) | Days of Future Future,500 Keys | The Simpsons (season 22)
Selective bandit,keep,5a7633ff5542994ccc918712,"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",1.0,1.0,1.0,0.0,1,28,1.5,"When was the Chief Aerodynamicist for the British supersonic land vehicle, whose goal is to match or exceed 1000 mph achieving a new world land speed record, born?",Bloodhound SSC | Ron Ayers | Land speed record | Golden Arrow (car) | Henry Segrave,Bloodhound SSC | Ron Ayers
Selective bandit,keyword_compress,5ab259b25542993be8fa98de,What word or phrase is found in both the history of Belgium and cockfighting?,1.0,1.0,1.0,0.0,1,7,1.5,word phrase found both history belgium cockfighting,History of Belgium | Cockfight | Isogram | Contrastive focus reduplication | Divers hands,Cockfight | History of Belgium
Selective bandit,keep,5ab8829d55429934fafe6e08,The View from the Bottom is the fifth studio album by an American rock band best known for what hit song?,0.5,1.0,0.6131471927654584,0.0,1,21,1.0,The View from the Bottom is the fifth studio album by an American rock band best known for what hit song?,The View from the Bottom | Coming Home (New Found Glory album) | The Classic Crime | Iron Butterfly | The Starfires (Cleveland band),Lit (band) | The View from the Bottom
Selective bandit,entity_expand,5ae327e05542992f92d82220,GamesMaster has a sister publicantion that is published how many times per year?,0.5,1.0,0.6131471927654584,0.0,1,8,1.0,gamesmaster sister publicantion published many times per year,GamesMaster (magazine) | Third World Quarterly | Virulence (journal) | Behavioural Brain Research | European Sociological Review,Edge (magazine) | GamesMaster (magazine)
Selective bandit,decompose,5adfa8d0554299025d62a32c,How many times have the team that won the 11th DFB-Pokal won the national championship ?,1.0,1.0,1.0,0.1,2,10,1.4,many times team won 11th || dfb pokal won national championship,VfB Stuttgart | 1953–54 DFB-Pokal | Mario Napolitano | 1970 Texas Longhorns football team | Kyndil,1953–54 DFB-Pokal | VfB Stuttgart
Selective bandit,keyword_compress,5a77bdcb5542997042120b0b,"Who was born first,  Morgan Llywelyn or Robert Jordan?",1.0,0.5,0.6240505200038379,0.0,1,6,1.25,born first morgan llywelyn robert jordan,The World of Robert Jordan's The Wheel of Time | Morgan Llywelyn | Grania: She-King of the Irish Seas | List of locations in The Wheel of Time | Robert Jordan,Morgan Llywelyn | Robert Jordan
Selective bandit,keep,5ab84de95542990e739ec8b4,Yau Ma Tei North is a district of a city with how many citizens?,0.5,1.0,0.6131471927654584,0.0,1,14,1.0,Yau Ma Tei North is a district of a city with how many citizens?,Yau Ma Tei North (constituency) | Canton Road | Meßstetten | Zacharovce | Ahiara,Hong Kong | Yau Ma Tei North (constituency)
Selective bandit,entity_expand,5a8b515e55429971feec46bb,Which Western action-adventure video game by Rockstar did Tyler Bunch act for?,1.0,1.0,0.8503449055347546,0.06,1,13,1.44,Which Western Rockstar Tyler Bunch western action adventure video game tyler bunch act,Tyler Bunch | Red Dead Revolver | Red Dead Redemption II | Red Dead | Red Dead Redemption,Red Dead Redemption | Tyler Bunch
Selective bandit,keyword_compress,5ae0c9dd5542993d6555ec69,Are Rob Parissi and Robert Pollard both musicians,0.5,1.0,0.6131471927654584,0.0,1,6,1.0,rob parissi robert pollard both musicians,Rob Parissi | Robert Pollard Is Off to Business | Play That Funky Music | Get Down Tonight: The Disco Explosion | Choreographed Man of War,Rob Parissi | Robert Pollard
Selective bandit,keyword_compress,5ac43e0f554299076e296d8e,What country are both Dafeng District and Jixi in?,0.5,0.3333333333333333,0.3065735963827292,0.0,1,5,0.6666666666666666,country both dafeng district jixi,"Yandu District | Tinghu District | Dafeng District | Hengshan District, Jixi | Mashan District",Dafeng District | Jixi
Selective bandit,keep,5abb342055429966062416e8,"The world's greatest Super-Heroes anthology showcased one of four superheroes known for speaking the phrase ""SHAZAM"", what was their name?",1.0,1.0,0.8772153153380493,0.0,1,20,1.5,"The world's greatest Super-Heroes anthology showcased one of four superheroes known for speaking the phrase ""SHAZAM"", what was their name?",The World's Greatest Super-Heroes | Detroit Economic Club | Legion of Super Heroes (TV series) | Captain Marvel (DC Comics) | Superman logo,Captain Marvel (DC Comics) | The World's Greatest Super-Heroes
Selective bandit,keep,5a8f21c755429918e830d195,"Whose writing covered more topics, Alan Dean Foster or Samuel R. Delany?",1.0,1.0,0.9197207891481876,0.0,1,12,1.5,"Whose writing covered more topics, Alan Dean Foster or Samuel R. Delany?",Samuel R. Delany | Spellsinger | Alan Dean Foster | The Motion of Light in Water | List of Humanx Commonwealth races,Alan Dean Foster | Samuel R. Delany
Selective bandit,decompose,5ab5ec795542997d4ad1f252,"What abbey, founded in 598, was Clarembald a monk at?",1.0,1.0,0.9197207891481876,0.1,2,5,1.4,abbey founded || 598 clarembald monk,Clarembald | Guoqing Temple | St Augustine's Abbey | Säckingen Abbey | Saint Anselm Abbey (New Hampshire),Clarembald | St Augustine's Abbey
Selective bandit,keep,5a862b0b554299211dda2a98,The current home ground of the Salford Red Devils was built for what season?,1.0,1.0,1.0,0.0,1,14,1.5,The current home ground of the Salford Red Devils was built for what season?,AJ Bell Stadium | Salford Red Devils | Lance Todd Trophy | 2014 Salford Red Devils season | Michael Platt,AJ Bell Stadium | Salford Red Devils
Selective bandit,entity_expand,5ab2e3a35542991669774124,The Pioneer Helmet and the Benty Grange helmet are linked because of which feature?,0.5,0.5,0.38685280723454163,0.06,1,12,0.69,The Pioneer Helmet Benty Grange pioneer helmet benty grange linked because feature,The Helmet (Oceanus Procellarum) | Pioneer Helmet | Coppergate Helmet | Hoosier Helmet Trophy | Maurice Fernez,Benty Grange helmet | Pioneer Helmet
Selective bandit,keep,5ae692e35542996d980e7c0e,"What is the birthdate of this King of Italy, claiming thrones of Ethiopia and Albania and father of Princess Yolanda of Savoy?",1.0,1.0,0.8772153153380493,0.0,1,22,1.5,"What is the birthdate of this King of Italy, claiming thrones of Ethiopia and Albania and father of Princess Yolanda of Savoy?",Victor Emmanuel III of Italy | Drusilla of Mauretania the Elder | Italians of Ethiopia | Princess Yolanda of Savoy | Albanian Kingdom (1939–43),Princess Yolanda of Savoy | Victor Emmanuel III of Italy
Selective bandit,keyword_compress,5a876cd55542993e715abf36,Kim Jong-hyun's first studio album was distributed by whom?,1.0,1.0,0.8772153153380493,0.0,1,8,1.5,kim jong hyun s first studio album distributed,Kim Jong-hyun (singer) | Kim Jong-hyun discography | Walking With (album) | She Is | List of songs written by Kim Jong-hyun,Kim Jong-hyun (singer) | She Is
Selective bandit,entity_expand,5ab9ba6855429970cfb8eb87,"Which novel by the author of ""Armada"" will adapted as a feature film by Steven Spielberg?",0.5,0.3333333333333333,0.3065735963827292,0.04,1,11,0.6266666666666666,Armada Steven Spielberg novel author will adapted feature film steven spielberg,Jaws (franchise) | The Color Purple (film) | Ernest Cline | The Last Stage | Steven Spielberg's unrealized projects,Armada (novel) | Ernest Cline
Selective bandit,entity_expand,5ae446175542995ad6573d1f,Who had a perfect game against The Ignitor's team in 1998?,1.0,1.0,1.0,0.02,1,9,1.48,The Ignitor perfect game against ignitor s team 1998,Paul Molitor | 1998 Minnesota Twins season | Don Larsen's perfect game | Sandy Koufax's perfect game | Matt Cain's perfect game,1998 Minnesota Twins season | Paul Molitor
Selective bandit,entity_expand,5a77846f5542995d83181187,Which 50th Congressional District representative was Brent Roger Wilkes connected to in a scandal?,1.0,1.0,1.0,0.1,1,14,1.4,Congressional District Brent Roger Wilkes 50th congressional district representative brent roger wilkes connected scandal,Brent R. Wilkes | Duke Cunningham | Frederick R. Lehlbach | Adam Kinzinger | Rick Nolan,Brent R. Wilkes | Duke Cunningham
Selective bandit,keyword_compress,5ae4e29855429908b63264a9,Where does the team that Flavio de Jesús Santos  plays for play home games?,1.0,1.0,1.0,0.0,1,10,1.5,team flavio de jes s santos plays play home games,Flavio Santos | Dorados de Sinaloa | Adelaide Comets FC | Sandringham Soccer Club | Duluth Huskies,Dorados de Sinaloa | Flavio Santos
Selective bandit,keep,5abd0b6b5542996e802b46b4,Finally includes the song that peaked at what on the US Hot 100,1.0,1.0,0.8772153153380493,0.0,1,13,1.5,Finally includes the song that peaked at what on the US Hot 100,Finally (CeCe Peniston song) | Wobble (song) | Birdman discography | Finally (CeCe Peniston album) | Tyga discography,Finally (CeCe Peniston album) | Finally (CeCe Peniston song)
Selective bandit,keyword_compress,5a88d7fc5542993b751ca879,Futbolita has interviewed what Spanish Professional footballer who plays as a striker for New York City FC?,0.5,1.0,0.6131471927654584,0.0,1,11,1.0,futbolita interviewed spanish professional footballer plays striker new york city fc,David Villa | Eñaut Zubikarai | Rafa Jordà | New York City FC Stadium | 2017 New York City FC season,David Villa | Futbolita
Selective bandit,decompose,5ab850795542990e739ec8bd,Erskine Academy is located in a village in what county?,0.5,1.0,0.6131471927654584,0.1,2,5,0.9,erskine academy || located village county,Erskine Academy | Bellport Academy | Bellport Village Historic District | Village Christian Academy | Brandywine Village Historic District,"Erskine Academy | South China, Maine"
Selective bandit,keyword_compress,5a85cd295542997175ce202b,Who was the military commander of the last active ruler of the Ptolemaic Kingdom of Egypt?,1.0,1.0,1.0,0.0,1,8,1.5,military commander last active ruler ptolemaic kingdom egypt,Cleopatra | Athenion (general) | Antiochus III the Great | Ptolemaic dynasty | Polycrates of Argos,Athenion (general) | Cleopatra
Selective bandit,keep,5a875cd65542996e4f30879d,"What kind of producer is the person who helped created ""The Spiderwick Cronicles"" with Holly Black?",0.5,1.0,0.6131471927654584,0.0,1,16,1.0,"What kind of producer is the person who helped created ""The Spiderwick Cronicles"" with Holly Black?",Holly Black | The Darkest Part of the Forest | Rich Eychaner Charitable Foundation | Amy Domini | The Spiderwick Chronicles (film),Holly Black | Tony DiTerlizzi
Selective bandit,keep,5a7790ed5542992a6e59defb,Name three common things that are used in playing Monopoly and King of Tokyo?,1.0,1.0,0.9197207891481876,0.0,1,14,1.5,Name three common things that are used in playing Monopoly and King of Tokyo?,King of Tokyo | Tropical Storm Ike | Monopoly (game) | Multiple Jeopardy | Tally counter,King of Tokyo | Monopoly (game)
Selective bandit,keyword_compress,5ae3e2455542994393b9e78c,Scout Tufankjian and Daron Malakian are both what?,1.0,1.0,0.8503449055347546,0.0,1,5,1.5,scout tufankjian daron malakian both,Scout Tufankjian | Vartan Malakian | Scars on Broadway (album) | Scars on Broadway | Daron Malakian,Daron Malakian | Scout Tufankjian
