source_dataset,target_dataset,split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs,policy_action_score
scifact,nfcorpus,test,Transferred source policy,dense_keep,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3136 | MED-2570 | MED-4991 | MED-2144 | MED-3132,MED-4281,0.3332163901282056
scifact,nfcorpus,test,Oracle retrieval action,bm25_keep,PLAIN-1161,fava beans,0.0,0.0,0.0,0.0,1,2,0.0,fava beans,MED-3584 | MED-3138 | MED-1880 | MED-2140 | MED-3136,MED-4281,
scifact,nfcorpus,test,Vanilla BM25,bm25_keep,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-10 | MED-14 | MED-118 | MED-301 | MED-306,MED-4841,
scifact,nfcorpus,test,BM25 keyword,bm25_keyword,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-10 | MED-14 | MED-118 | MED-301 | MED-306,MED-4841,
scifact,nfcorpus,test,Dense original,dense_keep,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-3462 | MED-3461 | MED-4811 | MED-941 | MED-863,MED-4841,
scifact,nfcorpus,test,Dense keyword,dense_keyword,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-3462 | MED-3461 | MED-4811 | MED-941 | MED-863,MED-4841,
scifact,nfcorpus,test,Hybrid original,hybrid_keep,PLAIN-817,canker sores,0.0,0.0,0.0,0.03,2,2,-0.03,canker sores,MED-10 | MED-3462 | MED-14 | MED-3461 | MED-118,MED-4841,
scifact,nfcorpus,test,Hybrid keyword,hybrid_keyword,PLAIN-817,canker sores,0.0,0.0,0.0,0.03,2,2,-0.03,canker sores,MED-10 | MED-3462 | MED-14 | MED-3461 | MED-118,MED-4841,
scifact,nfcorpus,test,Target train-best action,dense_keep,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-3462 | MED-3461 | MED-4811 | MED-941 | MED-863,MED-4841,
scifact,nfcorpus,test,Heuristic retrieval router,dense_keep,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-3462 | MED-3461 | MED-4811 | MED-941 | MED-863,MED-4841,
scifact,nfcorpus,test,Transferred source policy,dense_keep,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-3462 | MED-3461 | MED-4811 | MED-941 | MED-863,MED-4841,0.06597845223659243
scifact,nfcorpus,test,Oracle retrieval action,bm25_keep,PLAIN-817,canker sores,0.0,0.0,0.0,0.0,1,2,0.0,canker sores,MED-10 | MED-14 | MED-118 | MED-301 | MED-306,MED-4841,
scifact,nfcorpus,test,Vanilla BM25,bm25_keep,PLAIN-2520,Caloric Restriction vs. Plant-Based Diets,0.0273972602739726,0.25,0.27727342735504823,0.0,1,5,0.1523972602739726,Caloric Restriction vs. Plant-Based Diets,MED-3273 | MED-4996 | MED-5335 | MED-2138 | MED-2519,MED-1711 | MED-1712 | MED-1714 | MED-1715 | MED-1716 | MED-1717 | MED-1718 | MED-1719 | MED-1720 | MED-1721 | MED-1722 | MED-1723 | MED-1724 | MED-2114 | MED-2115 | MED-2116 | MED-2117 | MED-2120 | MED-2121 | MED-2122 | MED-2123 | MED-2124 | MED-2126 | MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2763 | MED-2943 | MED-3436 | MED-4211 | MED-4212 | MED-4216 | MED-4220 | MED-4222 | MED-4223 | MED-4224 | MED-4225 | MED-4226 | MED-4227 | MED-4228 | MED-4612 | MED-4886 | MED-4896 | MED-5237 | MED-5239 | MED-5337 | MED-5341,
scifact,nfcorpus,test,BM25 keyword,bm25_keyword,PLAIN-2520,Caloric Restriction vs. Plant-Based Diets,0.0273972602739726,0.25,0.27727342735504823,0.0,1,6,0.1523972602739726,caloric restriction vs plant based diets,MED-3273 | MED-4996 | MED-5335 | MED-2138 | MED-2519,MED-1711 | MED-1712 | MED-1714 | MED-1715 | MED-1716 | MED-1717 | MED-1718 | MED-1719 | MED-1720 | MED-1721 | MED-1722 | MED-1723 | MED-1724 | MED-2114 | MED-2115 | MED-2116 | MED-2117 | MED-2120 | MED-2121 | MED-2122 | MED-2123 | MED-2124 | MED-2126 | MED-2127 | MED-2128 | MED-2129 | MED-2130 | MED-2132 | MED-2134 | MED-2135 | MED-2136 | MED-2137 | MED-2138 | MED-2139 | MED-2498 | MED-2501 | MED-2502 | MED-2504 | MED-2505 | MED-2506 | MED-2507 | MED-2509 | MED-2510 | MED-2511 | MED-2512 | MED-2513 | MED-2514 | MED-2517 | MED-2518 | MED-2519 | MED-2520 | MED-2521 | MED-2763 | MED-2943 | MED-3436 | MED-4211 | MED-4212 | MED-4216 | MED-4220 | MED-4222 | MED-4223 | MED-4224 | MED-4225 | MED-4226 | MED-4227 | MED-4228 | MED-4612 | MED-4886 | MED-4896 | MED-5237 | MED-5239 | MED-5337 | MED-5341,
