split,method,action,qid,question,recall_at_5,mrr,ndcg_at_5,rewrite_cost,retrieval_calls,rewrite_tokens,reward,queries,top_docs,gold_docs
train,Vanilla BM25,bm25_keep,8818050291845026380,what does the number at the beginning of sesame street mean,1.0,1.0,1.0,0.0,1,11,1.5,what does the number at the beginning of sesame street mean,nq:8818050291845026380 | nq:-119638173687275454 | nq:-4482979425454794325 | nq:-4153891120088105846 | nq:-7837928303999170875,nq:8818050291845026380
train,BM25 keyword,bm25_keyword,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,6,1.5,god save queen became national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:1537244195687008584 | nq:4826133206438959478 | nq:-8779917413777030409,nq:-5248648953323441399
train,Dense original,dense_keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,10,1.5,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:-8779917413777030409 | nq:5922327498816543156 | nq:-902355811969159600,nq:-5248648953323441399
train,Dense keyword,dense_keyword,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,6,1.5,god save queen became national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:-8779917413777030409 | nq:1537244195687008584 | nq:5922327498816543156,nq:-5248648953323441399
train,Hybrid original,hybrid_keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.03,2,10,1.47,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:-8779917413777030409 | nq:4826133206438959478 | nq:1537244195687008584,nq:-5248648953323441399
train,Hybrid keyword,hybrid_keyword,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.03,2,6,1.47,god save queen became national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:1537244195687008584 | nq:-8779917413777030409 | nq:4826133206438959478,nq:-5248648953323441399
train,Train-best retrieval action,dense_keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,10,1.5,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:-8779917413777030409 | nq:5922327498816543156 | nq:-902355811969159600,nq:-5248648953323441399
train,Selective retrieval policy,bm25_keyword,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,6,1.5,god save queen became national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:1537244195687008584 | nq:4826133206438959478 | nq:-8779917413777030409,nq:-5248648953323441399
train,Oracle retrieval action,bm25_keep,-5248648953323441399,when did god save the queen became the national anthem,1.0,1.0,1.0,0.0,1,10,1.5,when did god save the queen became the national anthem,nq:-5248648953323441399 | nq:5062184728482203596 | nq:4826133206438959478 | nq:1537244195687008584 | nq:-8779917413777030409,nq:-5248648953323441399
train,Vanilla BM25,bm25_keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,9,1.5,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5852144795663739569 | nq:-8074993547733090370 | nq:-7275272659885289884 | nq:-2209109666131627285,nq:-3875958317236683310
train,BM25 keyword,bm25_keyword,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,4,1.5,battles lexington concord happen,nq:-3875958317236683310 | nq:7996383088631167889 | nq:4296988594167310929 | nq:1196743193353431992 | nq:-5985324559461021991,nq:-3875958317236683310
train,Dense original,dense_keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,9,1.5,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5985324559461021991 | nq:-6591614197125818072 | nq:-902355811969159600 | nq:9125206758598146020,nq:-3875958317236683310
train,Dense keyword,dense_keyword,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,4,1.5,battles lexington concord happen,nq:-3875958317236683310 | nq:-5985324559461021991 | nq:-6591614197125818072 | nq:9125206758598146020 | nq:-902355811969159600,nq:-3875958317236683310
train,Hybrid original,hybrid_keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.03,2,9,1.47,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5852144795663739569 | nq:-5985324559461021991 | nq:-6591614197125818072 | nq:-8074993547733090370,nq:-3875958317236683310
train,Hybrid keyword,hybrid_keyword,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.03,2,4,1.47,battles lexington concord happen,nq:-3875958317236683310 | nq:-5985324559461021991 | nq:7996383088631167889 | nq:-6591614197125818072 | nq:4296988594167310929,nq:-3875958317236683310
train,Train-best retrieval action,dense_keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,9,1.5,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5985324559461021991 | nq:-6591614197125818072 | nq:-902355811969159600 | nq:9125206758598146020,nq:-3875958317236683310
train,Selective retrieval policy,bm25_keyword,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,4,1.5,battles lexington concord happen,nq:-3875958317236683310 | nq:7996383088631167889 | nq:4296988594167310929 | nq:1196743193353431992 | nq:-5985324559461021991,nq:-3875958317236683310
train,Oracle retrieval action,bm25_keep,-3875958317236683310,when did the battles of lexington and concord happen,1.0,1.0,1.0,0.0,1,9,1.5,when did the battles of lexington and concord happen,nq:-3875958317236683310 | nq:-5852144795663739569 | nq:-8074993547733090370 | nq:-7275272659885289884 | nq:-2209109666131627285,nq:-3875958317236683310
train,Vanilla BM25,bm25_keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:-3716243111645718342 | nq:2236521535238054703 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,BM25 keyword,bm25_keyword,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,5,1.5,wrote song mary little lamb,nq:-1892743779381029561 | nq:-1773607187248198254 | nq:2236521535238054703 | nq:-7371522032295337009 | nq:-3716243111645718342,nq:-1892743779381029561
train,Dense original,dense_keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:2236521535238054703 | nq:-6485901795726895427 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Dense keyword,dense_keyword,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,5,1.5,wrote song mary little lamb,nq:-1892743779381029561 | nq:2236521535238054703 | nq:-6177122597319457473 | nq:-6485901795726895427 | nq:-1773607187248198254,nq:-1892743779381029561
train,Hybrid original,hybrid_keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.03,2,9,1.47,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:2236521535238054703 | nq:-3716243111645718342 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Hybrid keyword,hybrid_keyword,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.03,2,5,1.47,wrote song mary little lamb,nq:-1892743779381029561 | nq:2236521535238054703 | nq:-1773607187248198254 | nq:-6177122597319457473 | nq:-6485901795726895427,nq:-1892743779381029561
train,Train-best retrieval action,dense_keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:2236521535238054703 | nq:-6485901795726895427 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Selective retrieval policy,dense_keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:2236521535238054703 | nq:-6485901795726895427 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Oracle retrieval action,bm25_keep,-1892743779381029561,who wrote the song mary had a little lamb,1.0,1.0,1.0,0.0,1,9,1.5,who wrote the song mary had a little lamb,nq:-1892743779381029561 | nq:-3716243111645718342 | nq:2236521535238054703 | nq:-6177122597319457473 | nq:-1773607187248198254,nq:-1892743779381029561
train,Vanilla BM25,bm25_keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-8837653404749291736 | nq:818002923934435137 | nq:-6966959898445658330,nq:7621889567969940898
train,BM25 keyword,bm25_keyword,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,6,1.5,primary reason creation federal whistleblower statutes,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-1545150092700302635 | nq:9125206758598146020 | nq:4306749566186588785,nq:7621889567969940898
train,Dense original,dense_keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:4306749566186588785 | nq:1340598526765817964 | nq:-8489349464896514022 | nq:935418947813312284,nq:7621889567969940898
train,Dense keyword,dense_keyword,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,6,1.5,primary reason creation federal whistleblower statutes,nq:7621889567969940898 | nq:4306749566186588785 | nq:935418947813312284 | nq:-8489349464896514022 | nq:1340598526765817964,nq:7621889567969940898
train,Hybrid original,hybrid_keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.03,2,12,1.47,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:-8489349464896514022 | nq:4306749566186588785 | nq:-8837653404749291736 | nq:1340598526765817964,nq:7621889567969940898
train,Hybrid keyword,hybrid_keyword,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.03,2,6,1.47,primary reason creation federal whistleblower statutes,nq:7621889567969940898 | nq:-8489349464896514022 | nq:4306749566186588785 | nq:-1545150092700302635 | nq:935418947813312284,nq:7621889567969940898
train,Train-best retrieval action,dense_keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:4306749566186588785 | nq:1340598526765817964 | nq:-8489349464896514022 | nq:935418947813312284,nq:7621889567969940898
train,Selective retrieval policy,bm25_keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-8837653404749291736 | nq:818002923934435137 | nq:-6966959898445658330,nq:7621889567969940898
train,Oracle retrieval action,bm25_keep,7621889567969940898,the primary reason for the creation of federal whistleblower statutes was to,1.0,1.0,1.0,0.0,1,12,1.5,the primary reason for the creation of federal whistleblower statutes was to,nq:7621889567969940898 | nq:-8489349464896514022 | nq:-8837653404749291736 | nq:818002923934435137 | nq:-6966959898445658330,nq:7621889567969940898
train,Vanilla BM25,bm25_keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,16,1.5,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:-546696194238868913 | nq:4793332266598034685,nq:-551602452576511763
train,BM25 keyword,bm25_keyword,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,10,1.5,3 different ways colonial rule established various parts africa asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:4793332266598034685 | nq:-546696194238868913,nq:-551602452576511763
train,Dense original,dense_keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,16,1.5,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:6272996566434680145 | nq:4984871413174473846 | nq:-4723713582700509339 | nq:-1014091045618911654,nq:-551602452576511763
train,Dense keyword,dense_keyword,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,10,1.5,3 different ways colonial rule established various parts africa asia,nq:-551602452576511763 | nq:6272996566434680145 | nq:-575282834093664171 | nq:4793332266598034685 | nq:-3349809547297921417,nq:-551602452576511763
train,Hybrid original,hybrid_keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.03,2,16,1.47,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:6272996566434680145 | nq:4984871413174473846 | nq:9206631954896801929,nq:-551602452576511763
train,Hybrid keyword,hybrid_keyword,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.03,2,10,1.47,3 different ways colonial rule established various parts africa asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:4793332266598034685 | nq:6272996566434680145 | nq:-575282834093664171,nq:-551602452576511763
train,Train-best retrieval action,dense_keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,16,1.5,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:6272996566434680145 | nq:4984871413174473846 | nq:-4723713582700509339 | nq:-1014091045618911654,nq:-551602452576511763
train,Selective retrieval policy,dense_keyword,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,10,1.5,3 different ways colonial rule established various parts africa asia,nq:-551602452576511763 | nq:6272996566434680145 | nq:-575282834093664171 | nq:4793332266598034685 | nq:-3349809547297921417,nq:-551602452576511763
train,Oracle retrieval action,bm25_keep,-551602452576511763,3. in what different ways was colonial rule established in various parts of africa and asia,1.0,1.0,1.0,0.0,1,16,1.5,3. in what different ways was colonial rule established in various parts of africa and asia,nq:-551602452576511763 | nq:1345582187538309806 | nq:9206631954896801929 | nq:-546696194238868913 | nq:4793332266598034685,nq:-551602452576511763
train,Vanilla BM25,bm25_keep,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,8,1.5,where was the statue of liberty originally built,nq:-2839661864110242676 | nq:3221262508309669486 | nq:-429491976516694064 | nq:-546696194238868913 | nq:-3716243111645718342,nq:-2839661864110242676
train,BM25 keyword,bm25_keyword,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,4,1.5,statue liberty originally built,nq:-2839661864110242676 | nq:3221262508309669486 | nq:-7007495432386074718 | nq:-429491976516694064 | nq:4627523927977896713,nq:-2839661864110242676
train,Dense original,dense_keep,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,8,1.5,where was the statue of liberty originally built,nq:-2839661864110242676 | nq:-4752044886865067782 | nq:-1851146794181763603 | nq:3221262508309669486 | nq:2620904320274887581,nq:-2839661864110242676
train,Dense keyword,dense_keyword,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.0,1,4,1.5,statue liberty originally built,nq:-2839661864110242676 | nq:-4752044886865067782 | nq:-4201894620397422267 | nq:-1851146794181763603 | nq:-8713431644569888719,nq:-2839661864110242676
train,Hybrid original,hybrid_keep,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.03,2,8,1.47,where was the statue of liberty originally built,nq:-2839661864110242676 | nq:3221262508309669486 | nq:-4752044886865067782 | nq:-1851146794181763603 | nq:-429491976516694064,nq:-2839661864110242676
train,Hybrid keyword,hybrid_keyword,-2839661864110242676,where was the statue of liberty originally built,1.0,1.0,1.0,0.03,2,4,1.47,statue liberty originally built,nq:-2839661864110242676 | nq:-4752044886865067782 | nq:3221262508309669486 | nq:-4201894620397422267 | nq:-7007495432386074718,nq:-2839661864110242676
