method,action,qid,question,recall_at_5,mrr,ndcg_at_5,reward,rewrite_cost,retrieval_calls,queries,top_docs,gold_docs
Hybrid keyword,keyword_compress,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,1.0,1.0,0.9197207891481876,1.5,0.0,2,sport played both justin gimelstob angelique kerber,Angelique Kerber | 2001 Kroger St. Jude International – Doubles | Justin Gimelstob | 1999 Nottingham Open – Doubles | 2000 Franklin Templeton Tennis Classic – Doubles,Angelique Kerber | Justin Gimelstob
Dense original,keep,5ac4920d5542996feb3fe8d3,"When was the designer of the Disneyland attraction with variants in California, France, Hong Kong, Tokyo, and the Tomorrowland Speedway born?",1.0,1.0,0.8503449055347546,1.5,0.0,1,"When was the designer of the Disneyland attraction with variants in California, France, Hong Kong, Tokyo, and the Tomorrowland Speedway born?",Autopia | Rocket Jets | Snow White Grotto | Hong Kong Disneyland | Bob Gurr,Autopia | Bob Gurr
Dense keyword,keyword_compress,5ac4920d5542996feb3fe8d3,"When was the designer of the Disneyland attraction with variants in California, France, Hong Kong, Tokyo, and the Tomorrowland Speedway born?",0.5,1.0,0.6131471927654584,1.0,0.0,1,designer disneyland attraction variants california france hong kong tokyo tomorrowland speedway born,Autopia | Hong Kong Disneyland | Snow White Grotto | Rocket Jets | Jungle Cruise,Autopia | Bob Gurr
Hybrid original,keep,5ac4920d5542996feb3fe8d3,"When was the designer of the Disneyland attraction with variants in California, France, Hong Kong, Tokyo, and the Tomorrowland Speedway born?",1.0,1.0,0.9197207891481876,1.5,0.0,2,"When was the designer of the Disneyland attraction with variants in California, France, Hong Kong, Tokyo, and the Tomorrowland Speedway born?",Autopia | Rocket Jets | Bob Gurr | Snow White Grotto | Hong Kong Disneyland,Autopia | Bob Gurr
Hybrid keyword,keyword_compress,5ac4920d5542996feb3fe8d3,"When was the designer of the Disneyland attraction with variants in California, France, Hong Kong, Tokyo, and the Tomorrowland Speedway born?",1.0,1.0,0.9197207891481876,1.5,0.0,2,designer disneyland attraction variants california france hong kong tokyo tomorrowland speedway born,Autopia | Snow White Grotto | Bob Gurr | Hong Kong Disneyland | Rocket Jets,Autopia | Bob Gurr
Dense original,keep,5a7c2819554299683c1c62db,"The 1997 independent slapstick comedy film Snowboard Academy stars this Danish-Italian actress, model, singer and reality television personality who began her career modelling for whom?",1.0,1.0,0.9197207891481876,1.5,0.0,1,"The 1997 independent slapstick comedy film Snowboard Academy stars this Danish-Italian actress, model, singer and reality television personality who began her career modelling for whom?",Snowboard Academy | Andrea Roche | Brigitte Nielsen | Sakshi Agarwal | Paris Hilton,Brigitte Nielsen | Snowboard Academy
Dense keyword,keyword_compress,5a7c2819554299683c1c62db,"The 1997 independent slapstick comedy film Snowboard Academy stars this Danish-Italian actress, model, singer and reality television personality who began her career modelling for whom?",1.0,1.0,0.9197207891481876,1.5,0.0,1,1997 independent slapstick comedy film snowboard academy stars danish italian actress model singer reality television personality began career modelling,Snowboard Academy | Andrea Roche | Brigitte Nielsen | Sakshi Agarwal | Paris Hilton,Brigitte Nielsen | Snowboard Academy
Hybrid original,keep,5a7c2819554299683c1c62db,"The 1997 independent slapstick comedy film Snowboard Academy stars this Danish-Italian actress, model, singer and reality television personality who began her career modelling for whom?",1.0,1.0,1.0,1.5,0.0,2,"The 1997 independent slapstick comedy film Snowboard Academy stars this Danish-Italian actress, model, singer and reality television personality who began her career modelling for whom?",Snowboard Academy | Brigitte Nielsen | Andrea Roche | Paris Hilton | Poor Jake's Demise,Brigitte Nielsen | Snowboard Academy
Hybrid keyword,keyword_compress,5a7c2819554299683c1c62db,"The 1997 independent slapstick comedy film Snowboard Academy stars this Danish-Italian actress, model, singer and reality television personality who began her career modelling for whom?",1.0,1.0,1.0,1.5,0.0,2,1997 independent slapstick comedy film snowboard academy stars danish italian actress model singer reality television personality began career modelling,Snowboard Academy | Brigitte Nielsen | Andrea Roche | Paris Hilton | Poor Jake's Demise,Brigitte Nielsen | Snowboard Academy
Dense original,keep,5a80956e5542996402f6a579,What was the proper name of the husband of Lollia Paullina?,1.0,1.0,0.9197207891481876,1.5,0.0,1,What was the proper name of the husband of Lollia Paullina?,Lollia Paulina | Masarjawaih | Caligula | Collis (planetary nomenclature) | Farshid,Caligula | Lollia Paulina
Dense keyword,keyword_compress,5a80956e5542996402f6a579,What was the proper name of the husband of Lollia Paullina?,1.0,1.0,0.8772153153380493,1.5,0.0,1,proper name husband lollia paullina,Lollia Paulina | Masarjawaih | Collis (planetary nomenclature) | Caligula | Proper name (philosophy),Caligula | Lollia Paulina
Hybrid original,keep,5a80956e5542996402f6a579,What was the proper name of the husband of Lollia Paullina?,1.0,1.0,0.8772153153380493,1.5,0.0,2,What was the proper name of the husband of Lollia Paullina?,Lollia Paulina | Masarjawaih | Proper name (philosophy) | Caligula | Free City of Greyhawk,Caligula | Lollia Paulina
Hybrid keyword,keyword_compress,5a80956e5542996402f6a579,What was the proper name of the husband of Lollia Paullina?,0.5,1.0,0.6131471927654584,1.0,0.0,2,proper name husband lollia paullina,Lollia Paulina | Masarjawaih | Proper name mark | Proper name (philosophy) | Antonomasia,Caligula | Lollia Paulina
Dense original,keep,5ae5f9b355429929b0807a4b,"Which of the writers of ""The Telltale Head""  was born on February 15, 1954?",0.5,1.0,0.6131471927654584,1.0,0.0,1,"Which of the writers of ""The Telltale Head""  was born on February 15, 1954?",The Telltale Head | May Brookyn | Taichirō Hirokawa | Billy Kinloch | Terry Everett,Matt Groening | The Telltale Head
Dense keyword,keyword_compress,5ae5f9b355429929b0807a4b,"Which of the writers of ""The Telltale Head""  was born on February 15, 1954?",0.5,1.0,0.6131471927654584,1.0,0.0,1,writers telltale head born february 15 1954,The Telltale Head | May Brookyn | Taichirō Hirokawa | Billy Kinloch | Terry Everett,Matt Groening | The Telltale Head
Hybrid original,keep,5ae5f9b355429929b0807a4b,"Which of the writers of ""The Telltale Head""  was born on February 15, 1954?",0.5,1.0,0.6131471927654584,1.0,0.0,2,"Which of the writers of ""The Telltale Head""  was born on February 15, 1954?",The Telltale Head | Taichirō Hirokawa | Laurence Trimble | May Brookyn | Terry Everett,Matt Groening | The Telltale Head
Hybrid keyword,keyword_compress,5ae5f9b355429929b0807a4b,"Which of the writers of ""The Telltale Head""  was born on February 15, 1954?",1.0,1.0,0.8503449055347546,1.5,0.0,2,writers telltale head born february 15 1954,The Telltale Head | May Brookyn | Laurence Trimble | Terry Everett | Matt Groening,Matt Groening | The Telltale Head
Dense original,keep,5ae1bf46554299234fd042e6,Are both Jack and Coke and Clover Club Cocktail cocktails?,1.0,1.0,1.0,1.5,0.0,1,Are both Jack and Coke and Clover Club Cocktail cocktails?,Clover Club Cocktail | Jack and Coke | Bronx (cocktail) | Corpse Reviver | Hand Grenade (cocktail),Clover Club Cocktail | Jack and Coke
Dense keyword,keyword_compress,5ae1bf46554299234fd042e6,Are both Jack and Coke and Clover Club Cocktail cocktails?,1.0,1.0,1.0,1.5,0.0,1,both jack coke clover club cocktail cocktails,Clover Club Cocktail | Jack and Coke | Bronx (cocktail) | Hand Grenade (cocktail) | Corpse Reviver,Clover Club Cocktail | Jack and Coke
Hybrid original,keep,5ae1bf46554299234fd042e6,Are both Jack and Coke and Clover Club Cocktail cocktails?,1.0,1.0,1.0,1.5,0.0,2,Are both Jack and Coke and Clover Club Cocktail cocktails?,Clover Club Cocktail | Jack and Coke | Corpse Reviver | Bronx (cocktail) | Seafood cocktail,Clover Club Cocktail | Jack and Coke
Hybrid keyword,keyword_compress,5ae1bf46554299234fd042e6,Are both Jack and Coke and Clover Club Cocktail cocktails?,1.0,1.0,1.0,1.5,0.0,2,both jack coke clover club cocktail cocktails,Clover Club Cocktail | Jack and Coke | Bronx (cocktail) | Pegu Club (cocktail) | Hand Grenade (cocktail),Clover Club Cocktail | Jack and Coke
Dense original,keep,5ae655845542991bbc9760c3,"An American physicist coined the term ""soft energy path"" in 1976.  Today he is chairman and chief scientist of what?",1.0,1.0,0.9197207891481876,1.5,0.0,1,"An American physicist coined the term ""soft energy path"" in 1976.  Today he is chairman and chief scientist of what?",Soft energy path | Soft energy technology | Amory Lovins | Soft water path | Negawatt power,Amory Lovins | Soft energy path
Dense keyword,keyword_compress,5ae655845542991bbc9760c3,"An American physicist coined the term ""soft energy path"" in 1976.  Today he is chairman and chief scientist of what?",1.0,1.0,0.8772153153380493,1.5,0.0,1,american physicist coined term soft energy path 1976 today chairman chief scientist,Soft energy path | Soft energy technology | Soft water path | Amory Lovins | Negawatt power,Amory Lovins | Soft energy path
Hybrid original,keep,5ae655845542991bbc9760c3,"An American physicist coined the term ""soft energy path"" in 1976.  Today he is chairman and chief scientist of what?",1.0,1.0,1.0,1.5,0.0,2,"An American physicist coined the term ""soft energy path"" in 1976.  Today he is chairman and chief scientist of what?",Soft energy path | Amory Lovins | Soft water path | Soft energy technology | Negawatt power,Amory Lovins | Soft energy path
Hybrid keyword,keyword_compress,5ae655845542991bbc9760c3,"An American physicist coined the term ""soft energy path"" in 1976.  Today he is chairman and chief scientist of what?",1.0,1.0,1.0,1.5,0.0,2,american physicist coined term soft energy path 1976 today chairman chief scientist,Soft energy path | Amory Lovins | Soft water path | Soft energy technology | Negawatt power,Amory Lovins | Soft energy path
Dense original,keep,5a77e70f5542992a6e59dfeb,"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",1.0,0.5,0.6509209298071326,1.25,0.0,1,"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",William Shakespeare | The Tempest (1979 film) | Shakespeare bibliography | Heathcote Williams | Samuel Taylor Coleridge,Heathcote Williams | The Tempest (1979 film)
Dense keyword,keyword_compress,5a77e70f5542992a6e59dfeb,"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",1.0,0.3333333333333333,0.5706417189553201,1.1666666666666667,0.0,1,title 1979 film adaptation william shakespeare s play english poet actor political activist dramatist wrote wrote number book length polemical poems such autogeddon falling dolphin whale nation played main character,William Shakespeare | Shakespeare bibliography | The Tempest (1979 film) | Heathcote Williams | Samuel Taylor Coleridge,Heathcote Williams | The Tempest (1979 film)
Hybrid original,keep,5a77e70f5542992a6e59dfeb,"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",1.0,1.0,1.0,1.5,0.0,2,"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",Heathcote Williams | The Tempest (1979 film) | William Shakespeare | Samuel Taylor Coleridge | Henry Carey (writer),Heathcote Williams | The Tempest (1979 film)
Hybrid keyword,keyword_compress,5a77e70f5542992a6e59dfeb,"What is the title of the 1979 film adaptation of William Shakespeare's play in which the English poet, actor, political activist and dramatist who wrote wrote a number of book-length polemical poems such as ""Autogeddon"", ""Falling for a Dolphin"" and ""Whale Nation"" played a main character?",1.0,0.5,0.6934264036172708,1.25,0.0,2,title 1979 film adaptation william shakespeare s play english poet actor political activist dramatist wrote wrote number book length polemical poems such autogeddon falling dolphin whale nation played main character,William Shakespeare | Heathcote Williams | The Tempest (1979 film) | Shakespeare bibliography | Henry Carey (writer),Heathcote Williams | The Tempest (1979 film)
Dense original,keep,5ae400ab5542995dadf242be,"Were both the One, Inc. v. Olesen and  Erie Railroad Co. v. Tompkins cases ones that included a ruling by the United States Supreme Court?",1.0,1.0,0.8503449055347546,1.5,0.0,1,"Were both the One, Inc. v. Olesen and  Erie Railroad Co. v. Tompkins cases ones that included a ruling by the United States Supreme Court?","Erie Railroad Co. v. Tompkins | Klaxon Co. v. Stentor Electric Manufacturing Co. | Guaranty Trust Co. v. York | Criminal law in the Waite Court | One, Inc. v. Olesen","Erie Railroad Co. v. Tompkins | One, Inc. v. Olesen"
Dense keyword,keyword_compress,5ae400ab5542995dadf242be,"Were both the One, Inc. v. Olesen and  Erie Railroad Co. v. Tompkins cases ones that included a ruling by the United States Supreme Court?",1.0,1.0,0.8772153153380493,1.5,0.0,1,both one inc v olesen erie railroad co v tompkins cases ones included ruling united states supreme court,"Erie Railroad Co. v. Tompkins | Klaxon Co. v. Stentor Electric Manufacturing Co. | Guaranty Trust Co. v. York | One, Inc. v. Olesen | Criminal law in the Waite Court","Erie Railroad Co. v. Tompkins | One, Inc. v. Olesen"
Hybrid original,keep,5ae400ab5542995dadf242be,"Were both the One, Inc. v. Olesen and  Erie Railroad Co. v. Tompkins cases ones that included a ruling by the United States Supreme Court?",1.0,1.0,1.0,1.5,0.0,2,"Were both the One, Inc. v. Olesen and  Erie Railroad Co. v. Tompkins cases ones that included a ruling by the United States Supreme Court?","Erie Railroad Co. v. Tompkins | One, Inc. v. Olesen | Guaranty Trust Co. v. York | Klaxon Co. v. Stentor Electric Manufacturing Co. | V.L. v. E.L.","Erie Railroad Co. v. Tompkins | One, Inc. v. Olesen"
Hybrid keyword,keyword_compress,5ae400ab5542995dadf242be,"Were both the One, Inc. v. Olesen and  Erie Railroad Co. v. Tompkins cases ones that included a ruling by the United States Supreme Court?",1.0,1.0,1.0,1.5,0.0,2,both one inc v olesen erie railroad co v tompkins cases ones included ruling united states supreme court,"One, Inc. v. Olesen | Erie Railroad Co. v. Tompkins | Criminal law in the Waite Court | Klaxon Co. v. Stentor Electric Manufacturing Co. | Guaranty Trust Co. v. York","Erie Railroad Co. v. Tompkins | One, Inc. v. Olesen"
Dense original,keep,5a8f93f5554299458435d67e,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year? ",1.0,1.0,1.0,1.5,0.0,1,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year?",Safety Dunce | The Safety Dance | Five Finger Death Punch discography | Toxic (song) | Catch Me (I'm Falling),Safety Dunce | The Safety Dance
Dense keyword,keyword_compress,5a8f93f5554299458435d67e,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year? ",1.0,1.0,1.0,1.5,0.0,1,name od jason hook album safety dunce play words song released year,Safety Dunce | The Safety Dance | Five Finger Death Punch discography | Toxic (song) | Catch Me (I'm Falling),Safety Dunce | The Safety Dance
Hybrid original,keep,5a8f93f5554299458435d67e,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year? ",1.0,1.0,1.0,1.5,0.0,2,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year?",Safety Dunce | The Safety Dance | Catch Me (I'm Falling) | Mental Overdrive | Five Finger Death Punch discography,Safety Dunce | The Safety Dance
Hybrid keyword,keyword_compress,5a8f93f5554299458435d67e,"The name od the Jason Hook album ""Safety Dunce"" is a play on the words of a song released in what year? ",1.0,1.0,1.0,1.5,0.0,2,name od jason hook album safety dunce play words song released year,Safety Dunce | The Safety Dance | Jedan od onih života... | Catch Me (I'm Falling) | Five Finger Death Punch discography,Safety Dunce | The Safety Dance
Dense original,keep,5a8a4b9955429930ff3c0d88,Who wrote the lyrics to the 2016/2017 Australian production that stars Gretel Scarlett as Kathy Selden?,1.0,1.0,0.9197207891481876,1.5,0.0,1,Who wrote the lyrics to the 2016/2017 Australian production that stars Gretel Scarlett as Kathy Selden?,Gretel Scarlett | Debbie Reynolds | Singin' in the Rain (musical) | Stephen Mahy | 2016 Australian Production Car Series,Gretel Scarlett | Singin' in the Rain (musical)
Dense keyword,keyword_compress,5a8a4b9955429930ff3c0d88,Who wrote the lyrics to the 2016/2017 Australian production that stars Gretel Scarlett as Kathy Selden?,1.0,1.0,0.9197207891481876,1.5,0.0,1,wrote lyrics 2016 2017 australian production stars gretel scarlett kathy selden,Gretel Scarlett | Debbie Reynolds | Singin' in the Rain (musical) | 2016 Australian Production Car Series | Stephen Mahy,Gretel Scarlett | Singin' in the Rain (musical)
Hybrid original,keep,5a8a4b9955429930ff3c0d88,Who wrote the lyrics to the 2016/2017 Australian production that stars Gretel Scarlett as Kathy Selden?,1.0,1.0,0.8503449055347546,1.5,0.0,2,Who wrote the lyrics to the 2016/2017 Australian production that stars Gretel Scarlett as Kathy Selden?,Gretel Scarlett | Debbie Reynolds | 2016 Australian Production Car Series | Stephen Mahy | Singin' in the Rain (musical),Gretel Scarlett | Singin' in the Rain (musical)
Hybrid keyword,keyword_compress,5a8a4b9955429930ff3c0d88,Who wrote the lyrics to the 2016/2017 Australian production that stars Gretel Scarlett as Kathy Selden?,1.0,1.0,0.8772153153380493,1.5,0.0,2,wrote lyrics 2016 2017 australian production stars gretel scarlett kathy selden,Gretel Scarlett | 2016 Australian Production Car Series | Debbie Reynolds | Singin' in the Rain (musical) | Stephen Mahy,Gretel Scarlett | Singin' in the Rain (musical)
Dense original,keep,5a83d0845542996488c2e4e6,World for Ransom was directed by the producer notable for which 1974 film?,1.0,1.0,0.8772153153380493,1.5,0.0,1,World for Ransom was directed by the producer notable for which 1974 film?,World for Ransom | John Kemeny (film producer) | Paulo Thiago (director) | Robert Aldrich | Arnljot Berg,Robert Aldrich | World for Ransom
Dense keyword,keyword_compress,5a83d0845542996488c2e4e6,World for Ransom was directed by the producer notable for which 1974 film?,1.0,1.0,0.8772153153380493,1.5,0.0,1,world ransom directed producer notable 1974 film,World for Ransom | Paulo Thiago (director) | John Kemeny (film producer) | Robert Aldrich | Arnljot Berg,Robert Aldrich | World for Ransom
Hybrid original,keep,5a83d0845542996488c2e4e6,World for Ransom was directed by the producer notable for which 1974 film?,1.0,1.0,0.8772153153380493,1.5,0.0,2,World for Ransom was directed by the producer notable for which 1974 film?,World for Ransom | John Kemeny (film producer) | Paulo Thiago (director) | Robert Aldrich | Cameron Mackintosh,Robert Aldrich | World for Ransom
Hybrid keyword,keyword_compress,5a83d0845542996488c2e4e6,World for Ransom was directed by the producer notable for which 1974 film?,1.0,1.0,0.8772153153380493,1.5,0.0,2,world ransom directed producer notable 1974 film,World for Ransom | Paulo Thiago (director) | Cameron Mackintosh | Robert Aldrich | John Kemeny (film producer),Robert Aldrich | World for Ransom
Dense original,keep,5a7cd28c554299452d57ba80,What Swiss football forward currently plays for the Swiss football club founded in 1905?,0.5,0.5,0.38685280723454163,0.75,0.0,1,What Swiss football forward currently plays for the Swiss football club founded in 1905?,FC Zürich | FC Chiasso | Maeva Sarrasin | SV Schaffhausen | FC Tuggen,Andrea Locatelli (footballer) | FC Chiasso
Dense keyword,keyword_compress,5a7cd28c554299452d57ba80,What Swiss football forward currently plays for the Swiss football club founded in 1905?,0.5,0.5,0.38685280723454163,0.75,0.0,1,swiss football forward currently plays swiss football club founded 1905,FC Zürich | FC Chiasso | FC Tuggen | FC Gossau | Maeva Sarrasin,Andrea Locatelli (footballer) | FC Chiasso
