dataset,split,qid,question,gold_answer,retrieval_method,retrieval_action,reader,predicted_answer,reader_score,reader_passage_id,exact_match,f1,recall_at_5,mrr,ndcg_at_5,retrieval_calls,retrieval_reward,top_docs,gold_docs,missing_doc_count,claim_scope
hotpot,test,5a77aa8655429949eeb29f22,"What cast member of Flashbacks of a Fool was educated at Bryanston School in Blandford, Dorset?",Emilia Fox,Vanilla BM25,bm25_keep,lexical,"She was educated at Bryanston School in Blandford, Dorset.",0.5555555555555556,Emilia Fox,0.0,0.0,1.0,1.0,1.0,1.0,1.5,Flashbacks of a Fool | Emilia Fox | Blandford United F.C. | John Pearce (handballer) | Bryanston,Emilia Fox | Flashbacks of a Fool,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Vanilla BM25,bm25_keep,answer_type,Yoo Seung-ho,0.7142857142857143,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,1.0,1.5,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | MV Arctic Sea | Jamie Macoun,Missing You (2013 TV series) | Yoo Seung-ho,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Train-best retrieval action,hybrid_keyword,lexical,"Yoo Seung-ho (; born 17 August 1993) is a South Korean actor who rose to fame as a child actor in the film ""The Way Home"" (2002).",0.7142857142857143,Yoo Seung-ho,0.0,0.16666666666666669,1.0,1.0,1.0,2.0,1.47,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | František Sisr | Jamie Macoun,Missing You (2013 TV series) | Yoo Seung-ho,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Train-best retrieval action,hybrid_keyword,span,Yoo Seung-ho,0.7142857142857143,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,2.0,1.47,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | František Sisr | Jamie Macoun,Missing You (2013 TV series) | Yoo Seung-ho,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Train-best retrieval action,hybrid_keyword,answer_type,Yoo Seung-ho,0.7142857142857143,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,2.0,1.47,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | František Sisr | Jamie Macoun,Missing You (2013 TV series) | Yoo Seung-ho,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Selective retrieval policy,dense_keep,lexical,"Yoo Seung-ho (; born 17 August 1993) is a South Korean actor who rose to fame as a child actor in the film ""The Way Home"" (2002).",0.7142857142857143,Yoo Seung-ho,0.0,0.16666666666666669,1.0,1.0,1.0,1.0,1.5,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | Justin Posey | Laurens Sweeck,Missing You (2013 TV series) | Yoo Seung-ho,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Selective retrieval policy,dense_keep,span,Yoo Seung-ho,0.7142857142857143,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,1.0,1.5,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | Justin Posey | Laurens Sweeck,Missing You (2013 TV series) | Yoo Seung-ho,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a73f4f75542993a88ae2ebc,Which Missing You actor was born August 17 1993?,Yoo Seung-ho,Selective retrieval policy,dense_keep,answer_type,Yoo Seung-ho,0.7142857142857143,Yoo Seung-ho,1.0,1.0,1.0,1.0,1.0,1.0,1.5,Missing You (2013 TV series) | Yoo Seung-ho | Carmelo Pace | Justin Posey | Laurens Sweeck,Missing You (2013 TV series) | Yoo Seung-ho,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Vanilla BM25,bm25_keep,lexical,"The film was directed and co-produced by James Lapine, based on an idea by Frank Rich and ""centers on the backstory of six great Sondheim songs.""",0.625,Six by Sondheim,0.0,0.15384615384615383,1.0,1.0,0.8503449055347546,1.0,1.5,Six by Sondheim | Stephen Sondheim | Manjeet Kullar | Michael Flessas | James Lapine,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Vanilla BM25,bm25_keep,span,James Lapine,0.625,Six by Sondheim,0.0,0.8,1.0,1.0,0.8503449055347546,1.0,1.5,Six by Sondheim | Stephen Sondheim | Manjeet Kullar | Michael Flessas | James Lapine,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Vanilla BM25,bm25_keep,answer_type,James Lapine,0.625,Six by Sondheim,0.0,0.8,1.0,1.0,0.8503449055347546,1.0,1.5,Six by Sondheim | Stephen Sondheim | Manjeet Kullar | Michael Flessas | James Lapine,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Train-best retrieval action,hybrid_keyword,lexical,"The film was directed and co-produced by James Lapine, based on an idea by Frank Rich and ""centers on the backstory of six great Sondheim songs.""",0.625,Six by Sondheim,0.0,0.15384615384615383,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Train-best retrieval action,hybrid_keyword,span,James Lapine,0.625,Six by Sondheim,0.0,0.8,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Train-best retrieval action,hybrid_keyword,answer_type,James Lapine,0.625,Six by Sondheim,0.0,0.8,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Selective retrieval policy,hybrid_keyword,lexical,"The film was directed and co-produced by James Lapine, based on an idea by Frank Rich and ""centers on the backstory of six great Sondheim songs.""",0.625,Six by Sondheim,0.0,0.15384615384615383,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Selective retrieval policy,hybrid_keyword,span,James Lapine,0.625,Six by Sondheim,0.0,0.8,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5a8b7d7d5542997f31a41d4b,What Tony Award winner directed and co-produced Six by Sondheim?,James Elliot Lapine,Selective retrieval policy,hybrid_keyword,answer_type,James Lapine,0.625,Six by Sondheim,0.0,0.8,1.0,1.0,0.9197207891481876,2.0,1.47,Six by Sondheim | Stephen Sondheim | James Lapine | Swoosie Kurtz | Michael Flessas,James Lapine | Six by Sondheim,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Vanilla BM25,bm25_keep,lexical,"""Shoulder Lean"" is a song by American hip hop recording artist Young Dro, released July 4, 2006 as his debut single and the lead single from his debut studio album ""Best Thang Smokin'"".",0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Cut It (song) | Shoulder Lean | Nobody Does It Better (Nate Dogg song) | Lloyd Banks,O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Vanilla BM25,bm25_keep,span,Best Thang Smokin,0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Cut It (song) | Shoulder Lean | Nobody Does It Better (Nate Dogg song) | Lloyd Banks,O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Vanilla BM25,bm25_keep,answer_type,Best Thang Smokin,0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Cut It (song) | Shoulder Lean | Nobody Does It Better (Nate Dogg song) | Lloyd Banks,O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Train-best retrieval action,hybrid_keyword,lexical,"""Shoulder Lean"" is a song by American hip hop recording artist Young Dro, released July 4, 2006 as his debut single and the lead single from his debut studio album ""Best Thang Smokin'"".",0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,2.0,0.97,Young Dolph | Cut It (song) | Peewee Longway | Shoulder Lean | McGruff (rapper),O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Train-best retrieval action,hybrid_keyword,span,Best Thang Smokin,0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,2.0,0.97,Young Dolph | Cut It (song) | Peewee Longway | Shoulder Lean | McGruff (rapper),O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Train-best retrieval action,hybrid_keyword,answer_type,Best Thang Smokin,0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,2.0,0.97,Young Dolph | Cut It (song) | Peewee Longway | Shoulder Lean | McGruff (rapper),O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Selective retrieval policy,dense_keep,lexical,"""Shoulder Lean"" is a song by American hip hop recording artist Young Dro, released July 4, 2006 as his debut single and the lead single from his debut studio album ""Best Thang Smokin'"".",0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Shoulder Lean | McGruff (rapper) | Peewee Longway | Cut It (song),O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Selective retrieval policy,dense_keep,span,Best Thang Smokin,0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Shoulder Lean | McGruff (rapper) | Peewee Longway | Cut It (song),O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ae60dcc554299546bf83043,Young Dolph was featured on the hit single by which American hip hop recording artist?,O.T. Genasis,Selective retrieval policy,dense_keep,answer_type,Best Thang Smokin,0.7,Shoulder Lean,0.0,0.0,0.5,1.0,0.6131471927654584,1.0,1.0,Young Dolph | Shoulder Lean | McGruff (rapper) | Peewee Longway | Cut It (song),O.T. Genasis | Young Dolph,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Vanilla BM25,bm25_keep,lexical,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,0.8772153153380493,1.0,1.5,Collins and Maconie's Hit Parade | Sons Ltd | Radcliffe &amp; Maconie | Stuart Maconie | Dave Hill,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Vanilla BM25,bm25_keep,span,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,0.8772153153380493,1.0,1.5,Collins and Maconie's Hit Parade | Sons Ltd | Radcliffe &amp; Maconie | Stuart Maconie | Dave Hill,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Vanilla BM25,bm25_keep,answer_type,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,0.8772153153380493,1.0,1.5,Collins and Maconie's Hit Parade | Sons Ltd | Radcliffe &amp; Maconie | Stuart Maconie | Dave Hill,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Train-best retrieval action,hybrid_keyword,lexical,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,1.0,2.0,1.47,Collins and Maconie's Hit Parade | Stuart Maconie | Sons Ltd | Radcliffe &amp; Maconie | Hit Parade 1,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Train-best retrieval action,hybrid_keyword,span,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,1.0,2.0,1.47,Collins and Maconie's Hit Parade | Stuart Maconie | Sons Ltd | Radcliffe &amp; Maconie | Hit Parade 1,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Train-best retrieval action,hybrid_keyword,answer_type,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,1.0,2.0,1.47,Collins and Maconie's Hit Parade | Stuart Maconie | Sons Ltd | Radcliffe &amp; Maconie | Hit Parade 1,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Selective retrieval policy,bm25_keep,lexical,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,0.8772153153380493,1.0,1.5,Collins and Maconie's Hit Parade | Sons Ltd | Radcliffe &amp; Maconie | Stuart Maconie | Dave Hill,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Selective retrieval policy,bm25_keep,span,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,0.8772153153380493,1.0,1.5,Collins and Maconie's Hit Parade | Sons Ltd | Radcliffe &amp; Maconie | Stuart Maconie | Dave Hill,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ab71f7d554299110f219ab9,What broadcasting company did both Andrew Collins and Stuart Maconie of Collins and Maconie's Hit Parade both work together from 1194 to 1197?,BBC,Selective retrieval policy,bm25_keep,answer_type,Collins and Maconie's Hit Parade.,0.35714285714285715,Collins and Maconie's Hit Parade,0.0,0.0,1.0,1.0,0.8772153153380493,1.0,1.5,Collins and Maconie's Hit Parade | Sons Ltd | Radcliffe &amp; Maconie | Stuart Maconie | Dave Hill,Collins and Maconie's Hit Parade | Stuart Maconie,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Vanilla BM25,bm25_keep,lexical,Ullyett partnered with Piet Norval but lost in the semifinals to the eventual champions Justin Gimelstob and Sébastien Lareau.,0.2857142857142857,1999 Legg Mason Tennis Classic – Doubles,0.0,0.0,1.0,1.0,1.0,1.0,1.5,Angelique Kerber | Justin Gimelstob | 2005 China Open – Men's Doubles | 1999 Nottingham Open – Doubles | 1999 Legg Mason Tennis Classic – Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Vanilla BM25,bm25_keep,span,Piet Norval,0.2857142857142857,1999 Legg Mason Tennis Classic – Doubles,0.0,0.0,1.0,1.0,1.0,1.0,1.5,Angelique Kerber | Justin Gimelstob | 2005 China Open – Men's Doubles | 1999 Nottingham Open – Doubles | 1999 Legg Mason Tennis Classic – Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Vanilla BM25,bm25_keep,answer_type,Piet Norval,0.2857142857142857,1999 Legg Mason Tennis Classic – Doubles,0.0,0.0,1.0,1.0,1.0,1.0,1.5,Angelique Kerber | Justin Gimelstob | 2005 China Open – Men's Doubles | 1999 Nottingham Open – Doubles | 1999 Legg Mason Tennis Classic – Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Train-best retrieval action,hybrid_keyword,lexical,"Justin Jeremy Gimelstob (born January 26, 1977) is a retired American tennis player.",0.2857142857142857,Justin Gimelstob,0.0,0.15384615384615385,1.0,1.0,0.9197207891481876,2.0,1.47,Angelique Kerber | 2001 Kroger St. Jude International – Doubles | Justin Gimelstob | 1999 Nottingham Open – Doubles | 2000 Franklin Templeton Tennis Classic – Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Train-best retrieval action,hybrid_keyword,span,Justin Jeremy Gimelstob,0.2857142857142857,Justin Gimelstob,0.0,0.0,1.0,1.0,0.9197207891481876,2.0,1.47,Angelique Kerber | 2001 Kroger St. Jude International – Doubles | Justin Gimelstob | 1999 Nottingham Open – Doubles | 2000 Franklin Templeton Tennis Classic – Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Train-best retrieval action,hybrid_keyword,answer_type,Justin Jeremy Gimelstob,0.2857142857142857,Justin Gimelstob,0.0,0.0,1.0,1.0,0.9197207891481876,2.0,1.47,Angelique Kerber | 2001 Kroger St. Jude International – Doubles | Justin Gimelstob | 1999 Nottingham Open – Doubles | 2000 Franklin Templeton Tennis Classic – Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Selective retrieval policy,hybrid_keep,lexical,"Justin Jeremy Gimelstob (born January 26, 1977) is a retired American tennis player.",0.2857142857142857,Justin Gimelstob,0.0,0.15384615384615385,1.0,1.0,1.0,2.0,1.47,Angelique Kerber | Justin Gimelstob | 1999 Nottingham Open – Doubles | 2001 Kroger St. Jude International – Doubles | 2005 China Open – Men's Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
hotpot,test,5ade858a55429975fa854eea,What sport is played by both Justin Gimelstob and Angelique Kerber?,tennis,Selective retrieval policy,hybrid_keep,span,Justin Jeremy Gimelstob,0.2857142857142857,Justin Gimelstob,0.0,0.0,1.0,1.0,1.0,2.0,1.47,Angelique Kerber | Justin Gimelstob | 1999 Nottingham Open – Doubles | 2001 Kroger St. Jude International – Doubles | 2005 China Open – Men's Doubles,Angelique Kerber | Justin Gimelstob,0,tiny_realdata_policy_reader_diagnostic
