split,method,qid,question,action_trace,recall_at_5,mrr,ndcg_at_5,reward,cost,retrieval_calls,top_docs,gold_docs
train,Vanilla BM25,5a7a567255429941d65f25bd,What was Iqbal F. Qadir on when he participated in an attack on a radar station located on western shore of the Okhamandal Peninsula?,stop,1.0,1.0,1.0,1.5,0.0,1,Iqbal F. Qadir | Dwarka | NATO Ouvrage &quot;G&quot; | Mukachevo Radar Station | Radar Station (film),Dwarka | Iqbal F. Qadir
train,Rewrite-all keyword,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,keyword_compress,1.0,1.0,1.0,1.48,0.02,2,Scout Tufankjian | Art Laboe | KOKO-FM | Chinese Australians | Original Sound,Art Laboe | Scout Tufankjian
train,Rewrite-all entity,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,entity_expand,1.0,1.0,1.0,1.46,0.04,2,Scout Tufankjian | Art Laboe | KOKO-FM | Original Sound | Chinese Australians,Art Laboe | Scout Tufankjian
train,Train-best fixed trace,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,Scout Tufankjian | Art Laboe | KOKO-FM | Chinese Australians | Original Sound,Art Laboe | Scout Tufankjian
train,Multi-step FQI,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Scout Tufankjian | KOKO-FM | Art Laboe | Chinese Australians | Indian Scout (motorcycle),Art Laboe | Scout Tufankjian
train,Oracle two-step,5a73977d554299623ed4ac08,What is the shared country of ancestry between Art Laboe and Scout Tufankjian?,stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Scout Tufankjian | KOKO-FM | Art Laboe | Chinese Australians | Indian Scout (motorcycle),Art Laboe | Scout Tufankjian
train,Vanilla BM25,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,stop,1.0,1.0,1.0,1.5,0.0,1,Wilmslow High School | Wilmslow Show | California State Summer School for the Arts | Hawthorn Hall | Pownall Hall,Wilmslow High School | Wilmslow Show
train,Rewrite-all keyword,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,keyword_compress,1.0,1.0,1.0,1.48,0.02,2,Wilmslow Show | Wilmslow High School | Dungeness School | 2015 CIS University Cup | Corn School,Wilmslow High School | Wilmslow Show
train,Rewrite-all entity,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,entity_expand,1.0,1.0,1.0,1.47,0.03,2,Wilmslow Show | Wilmslow High School | Dungeness School | Corn School | Conestoga (convention),Wilmslow High School | Wilmslow Show
train,Train-best fixed trace,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,Wilmslow Show | Wilmslow High School | Dungeness School | 2015 CIS University Cup | Corn School,Wilmslow High School | Wilmslow Show
train,Multi-step FQI,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,stop,1.0,1.0,1.0,1.5,0.0,1,Wilmslow High School | Wilmslow Show | California State Summer School for the Arts | Hawthorn Hall | Pownall Hall,Wilmslow High School | Wilmslow Show
train,Oracle two-step,5ab514c05542991779162d72,The school in which the Wilmslow Show is held is designated as what?,stop,1.0,1.0,1.0,1.5,0.0,1,Wilmslow High School | Wilmslow Show | California State Summer School for the Arts | Hawthorn Hall | Pownall Hall,Wilmslow High School | Wilmslow Show
train,Vanilla BM25,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,stop,1.0,1.0,1.0,1.5,0.0,1,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tadakha,Billy Howle | On Chesil Beach (film)
train,Rewrite-all keyword,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,keyword_compress,1.0,1.0,1.0,1.48,0.02,2,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tell It to the Bees,Billy Howle | On Chesil Beach (film)
train,Rewrite-all entity,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,entity_expand,1.0,1.0,1.0,1.46,0.04,2,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tell It to the Bees,Billy Howle | On Chesil Beach (film)
train,Train-best fixed trace,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tell It to the Bees,Billy Howle | On Chesil Beach (film)
train,Multi-step FQI,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,stop,1.0,1.0,1.0,1.5,0.0,1,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tadakha,Billy Howle | On Chesil Beach (film)
train,Oracle two-step,5add2b435542990d50227e11,Who will Billy Howle be seen opposite in the upcoming British drama film directed by Dominic Cooke?,stop,1.0,1.0,1.0,1.5,0.0,1,On Chesil Beach (film) | Billy Howle | Once Upon a Time in London | The Little Stranger (film) | Tadakha,Billy Howle | On Chesil Beach (film)
train,Vanilla BM25,5a88d6df554299206df2b377,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",stop,1.0,0.5,0.6934264036172708,1.25,0.0,1,Curmudgeons (film) | The Lorax (film) | Kool Kojak | Brian R. Etting | Victorious: Music from the Hit TV Show,Kool Kojak | The Lorax (film)
train,Rewrite-all keyword,5a88d6df554299206df2b377,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",keyword_compress,1.0,0.5,0.6509209298071326,1.23,0.02,2,Curmudgeons (film) | The Lorax (film) | Brian R. Etting | Kool Kojak | Victorious: Music from the Hit TV Show,Kool Kojak | The Lorax (film)
train,Rewrite-all entity,5a88d6df554299206df2b377,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",entity_expand,1.0,0.3333333333333333,0.5706417189553201,1.1266666666666667,0.04,2,Curmudgeons (film) | Brian R. Etting | The Lorax (film) | Kool Kojak | Victorious: Music from the Hit TV Show,Kool Kojak | The Lorax (film)
train,Train-best fixed trace,5a88d6df554299206df2b377,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",keyword_compress -> stop,1.0,0.5,0.6509209298071326,1.23,0.02,2,Curmudgeons (film) | The Lorax (film) | Brian R. Etting | Kool Kojak | Victorious: Music from the Hit TV Show,Kool Kojak | The Lorax (film)
train,Multi-step FQI,5a88d6df554299206df2b377,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",feedback_expand -> entity_expand,1.0,1.0,0.9197207891481876,1.44,0.06,3,The Lorax (film) | Curmudgeons (film) | Kool Kojak | Brian R. Etting | Victorious: Music from the Hit TV Show,Kool Kojak | The Lorax (film)
train,Oracle two-step,5a88d6df554299206df2b377,"What animated movie, starring Danny Devito, featured music written and produced by Kool Kojak?",feedback_expand -> entity_expand,1.0,1.0,0.9197207891481876,1.44,0.06,3,The Lorax (film) | Curmudgeons (film) | Kool Kojak | Brian R. Etting | Victorious: Music from the Hit TV Show,Kool Kojak | The Lorax (film)
train,Vanilla BM25,5ae6b6065542991bbc976168,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",stop,1.0,1.0,1.0,1.5,0.0,1,Scott Adkins | Universal Soldier (franchise) | List of accolades received by Zero Dark Thirty | Universal Soldier (1992 film) | Jayne Grayson,Scott Adkins | Universal Soldier (franchise)
train,Rewrite-all keyword,5ae6b6065542991bbc976168,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",keyword_compress,1.0,1.0,1.0,1.48,0.02,2,Scott Adkins | Universal Soldier (franchise) | List of accolades received by Zero Dark Thirty | Luc Deveraux | Universal Soldier (1992 film),Scott Adkins | Universal Soldier (franchise)
train,Rewrite-all entity,5ae6b6065542991bbc976168,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",entity_expand,1.0,1.0,0.9197207891481876,1.415,0.085,2,Scott Adkins | List of accolades received by Zero Dark Thirty | Universal Soldier (franchise) | Luc Deveraux | Universal Soldier (1992 film),Scott Adkins | Universal Soldier (franchise)
train,Train-best fixed trace,5ae6b6065542991bbc976168,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,Scott Adkins | Universal Soldier (franchise) | List of accolades received by Zero Dark Thirty | Luc Deveraux | Universal Soldier (1992 film),Scott Adkins | Universal Soldier (franchise)
train,Multi-step FQI,5ae6b6065542991bbc976168,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",stop,1.0,1.0,1.0,1.5,0.0,1,Scott Adkins | Universal Soldier (franchise) | List of accolades received by Zero Dark Thirty | Universal Soldier (1992 film) | Jayne Grayson,Scott Adkins | Universal Soldier (franchise)
train,Oracle two-step,5ae6b6065542991bbc976168,"Out of the actors who have played the role of Luc Deveraux in the Universal Soldier franchise, which actor has also starred in the movies Holby City, Doctor Strange, the Bourne Ultimatum and Zero Dark Thirty?",stop,1.0,1.0,1.0,1.5,0.0,1,Scott Adkins | Universal Soldier (franchise) | List of accolades received by Zero Dark Thirty | Universal Soldier (1992 film) | Jayne Grayson,Scott Adkins | Universal Soldier (franchise)
train,Vanilla BM25,5ae531ee5542990ba0bbb1ff,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Tommy's Honour | Tina Heath | Jack Lowden | Ken Stott | Kevin McKidd,Jack Lowden | Tommy's Honour
train,Rewrite-all keyword,5ae531ee5542990ba0bbb1ff,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,keyword_compress,1.0,1.0,1.0,1.48,0.02,2,Tommy's Honour | Jack Lowden | Kevin McKidd | Hélène Kuragina | Tina Heath,Jack Lowden | Tommy's Honour
train,Rewrite-all entity,5ae531ee5542990ba0bbb1ff,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,entity_expand,1.0,1.0,1.0,1.48,0.02,2,Tommy's Honour | Jack Lowden | Kevin McKidd | Hélène Kuragina | Tina Heath,Jack Lowden | Tommy's Honour
train,Train-best fixed trace,5ae531ee5542990ba0bbb1ff,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,Tommy's Honour | Jack Lowden | Kevin McKidd | Hélène Kuragina | Tina Heath,Jack Lowden | Tommy's Honour
train,Multi-step FQI,5ae531ee5542990ba0bbb1ff,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Tommy's Honour | Tina Heath | Jack Lowden | Ken Stott | Kevin McKidd,Jack Lowden | Tommy's Honour
train,Oracle two-step,5ae531ee5542990ba0bbb1ff,Tommy's Honour was a drama film that included the actor who found success with what 2016 BBC miniseries?,stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Tommy's Honour | Tina Heath | Jack Lowden | Ken Stott | Kevin McKidd,Jack Lowden | Tommy's Honour
train,Vanilla BM25,5a8aa5835542996c9b8d5f4e,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",stop,1.0,1.0,0.8503449055347546,1.5,0.0,1,"Midnight Oil | Midnight Oil (album) | 20,000 Watt R.S.L. | Species Deceases | Switchfoot",Midnight Oil | Switchfoot
train,Rewrite-all keyword,5a8aa5835542996c9b8d5f4e,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",keyword_compress,1.0,1.0,1.0,1.48,0.02,2,"Midnight Oil | Switchfoot | 20,000 Watt R.S.L. | The Power &amp; The Passion | Rob Hirst",Midnight Oil | Switchfoot
train,Rewrite-all entity,5a8aa5835542996c9b8d5f4e,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",entity_expand,1.0,1.0,1.0,1.47,0.03,2,"Midnight Oil | Switchfoot | 20,000 Watt R.S.L. | The Power &amp; The Passion | Rob Hirst",Midnight Oil | Switchfoot
train,Train-best fixed trace,5a8aa5835542996c9b8d5f4e,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,"Midnight Oil | Switchfoot | 20,000 Watt R.S.L. | The Power &amp; The Passion | Rob Hirst",Midnight Oil | Switchfoot
train,Multi-step FQI,5a8aa5835542996c9b8d5f4e,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",stop,1.0,1.0,0.8503449055347546,1.5,0.0,1,"Midnight Oil | Midnight Oil (album) | 20,000 Watt R.S.L. | Species Deceases | Switchfoot",Midnight Oil | Switchfoot
train,Oracle two-step,5a8aa5835542996c9b8d5f4e,"Which rock band chose its name by drawing it out of a hat, Switchfoot or Midnight Oil?",stop,1.0,1.0,0.8503449055347546,1.5,0.0,1,"Midnight Oil | Midnight Oil (album) | 20,000 Watt R.S.L. | Species Deceases | Switchfoot",Midnight Oil | Switchfoot
train,Vanilla BM25,5ab82d095542990e739ec853,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Tunak Tunak Tun | This Ain't a Love Song | Daler Mehndi | The Day Before I Met You | A Love Song (Lee Greenwood song),Daler Mehndi | Tunak Tunak Tun
train,Rewrite-all keyword,5ab82d095542990e739ec853,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",keyword_compress,1.0,1.0,1.0,1.48,0.02,2,Tunak Tunak Tun | Daler Mehndi | Anmol Gagan Maan | This Ain't a Love Song | Lum's Love Song,Daler Mehndi | Tunak Tunak Tun
train,Rewrite-all entity,5ab82d095542990e739ec853,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",entity_expand,1.0,1.0,1.0,1.48,0.02,2,Tunak Tunak Tun | Daler Mehndi | Anmol Gagan Maan | This Ain't a Love Song | Lum's Love Song,Daler Mehndi | Tunak Tunak Tun
train,Train-best fixed trace,5ab82d095542990e739ec853,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,Tunak Tunak Tun | Daler Mehndi | Anmol Gagan Maan | This Ain't a Love Song | Lum's Love Song,Daler Mehndi | Tunak Tunak Tun
train,Multi-step FQI,5ab82d095542990e739ec853,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Tunak Tunak Tun | This Ain't a Love Song | Daler Mehndi | The Day Before I Met You | A Love Song (Lee Greenwood song),Daler Mehndi | Tunak Tunak Tun
train,Oracle two-step,5ab82d095542990e739ec853,"""Tunak"", is a bhangra/pop love song by an artist born in which year ?",stop,1.0,1.0,0.9197207891481876,1.5,0.0,1,Tunak Tunak Tun | This Ain't a Love Song | Daler Mehndi | The Day Before I Met You | A Love Song (Lee Greenwood song),Daler Mehndi | Tunak Tunak Tun
train,Vanilla BM25,5ae4c01e55429913cc2044f3,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,stop,1.0,1.0,1.0,1.5,0.0,1,Pound Ridge massacre | Kieft's War | English Neighborhood | Rumachenanck | Holland Society of New York,Kieft's War | Pound Ridge massacre
train,Rewrite-all keyword,5ae4c01e55429913cc2044f3,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,keyword_compress,1.0,1.0,1.0,1.48,0.02,2,Pound Ridge massacre | Kieft's War | English Neighborhood | Rumachenanck | Twelve Men,Kieft's War | Pound Ridge massacre
train,Rewrite-all entity,5ae4c01e55429913cc2044f3,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,entity_expand,1.0,1.0,1.0,1.465,0.035,2,Pound Ridge massacre | Kieft's War | English Neighborhood | Rumachenanck | Twelve Men,Kieft's War | Pound Ridge massacre
train,Train-best fixed trace,5ae4c01e55429913cc2044f3,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,Pound Ridge massacre | Kieft's War | English Neighborhood | Rumachenanck | Twelve Men,Kieft's War | Pound Ridge massacre
train,Multi-step FQI,5ae4c01e55429913cc2044f3,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,stop,1.0,1.0,1.0,1.5,0.0,1,Pound Ridge massacre | Kieft's War | English Neighborhood | Rumachenanck | Holland Society of New York,Kieft's War | Pound Ridge massacre
train,Oracle two-step,5ae4c01e55429913cc2044f3,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,stop,1.0,1.0,1.0,1.5,0.0,1,Pound Ridge massacre | Kieft's War | English Neighborhood | Rumachenanck | Holland Society of New York,Kieft's War | Pound Ridge massacre
train,Vanilla BM25,5a89fea655429970aeb701eb,In which film did Emilio Estevez star in in the same year as Nightmares,stop,1.0,0.5,0.6934264036172708,1.25,0.0,1,Wisdom (film) | Emilio Estevez | Nightmares (1983 film) | Here Not There | Rated X (film),Emilio Estevez | Nightmares (1983 film)
train,Rewrite-all keyword,5a89fea655429970aeb701eb,In which film did Emilio Estevez star in in the same year as Nightmares,keyword_compress,0.5,0.5,0.38685280723454163,0.73,0.02,2,Wisdom (film) | Nightmares (1983 film) | Here Not There | The Way (2010 film) | Dollar for the Dead,Emilio Estevez | Nightmares (1983 film)
train,Rewrite-all entity,5a89fea655429970aeb701eb,In which film did Emilio Estevez star in in the same year as Nightmares,entity_expand,0.5,0.5,0.38685280723454163,0.72,0.03,2,Wisdom (film) | Nightmares (1983 film) | The Way (2010 film) | Dollar for the Dead | Culture Clash in AmeriCCa,Emilio Estevez | Nightmares (1983 film)
train,Train-best fixed trace,5a89fea655429970aeb701eb,In which film did Emilio Estevez star in in the same year as Nightmares,keyword_compress -> stop,0.5,0.5,0.38685280723454163,0.73,0.02,2,Wisdom (film) | Nightmares (1983 film) | Here Not There | The Way (2010 film) | Dollar for the Dead,Emilio Estevez | Nightmares (1983 film)
train,Multi-step FQI,5a89fea655429970aeb701eb,In which film did Emilio Estevez star in in the same year as Nightmares,decompose -> stop,1.0,1.0,0.9197207891481876,1.41,0.09,3,Nightmares (1983 film) | Wisdom (film) | Emilio Estevez | Here Not There | Rated X (film),Emilio Estevez | Nightmares (1983 film)
train,Oracle two-step,5a89fea655429970aeb701eb,In which film did Emilio Estevez star in in the same year as Nightmares,decompose -> stop,1.0,1.0,0.9197207891481876,1.41,0.09,3,Nightmares (1983 film) | Wisdom (film) | Emilio Estevez | Here Not There | Rated X (film),Emilio Estevez | Nightmares (1983 film)
train,Vanilla BM25,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,stop,0.5,1.0,0.6131471927654584,1.0,0.0,1,"Eric S. Pistorius | Peter Deegan | Bryan Schroder | Eliot Spitzer | Lloyd Kenyon, 1st Baron Kenyon",Circuit court | Eric S. Pistorius
train,Rewrite-all keyword,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,keyword_compress,0.5,1.0,0.6131471927654584,0.98,0.02,2,Eric S. Pistorius | Peter Deegan | Eliot Spitzer | Commissioner v. Flowers | Bryan Schroder,Circuit court | Eric S. Pistorius
train,Rewrite-all entity,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,entity_expand,0.5,1.0,0.6131471927654584,0.98,0.02,2,Eric S. Pistorius | Peter Deegan | Eliot Spitzer | Commissioner v. Flowers | Bryan Schroder,Circuit court | Eric S. Pistorius
train,Train-best fixed trace,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,keyword_compress -> stop,0.5,1.0,0.6131471927654584,0.98,0.02,2,Eric S. Pistorius | Peter Deegan | Eliot Spitzer | Commissioner v. Flowers | Bryan Schroder,Circuit court | Eric S. Pistorius
train,Multi-step FQI,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,decompose -> stop,1.0,1.0,1.0,1.46,0.04,3,Eric S. Pistorius | Circuit court | Commissioner v. Flowers | Bryan Schroder | Peter Deegan,Circuit court | Eric S. Pistorius
train,Oracle two-step,5a80cf4c55429938b61421f6,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,decompose -> stop,1.0,1.0,1.0,1.46,0.04,3,Eric S. Pistorius | Circuit court | Commissioner v. Flowers | Bryan Schroder | Peter Deegan,Circuit court | Eric S. Pistorius
train,Vanilla BM25,5a89b1de5542992e4fca8378,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,stop,1.0,1.0,1.0,1.5,0.0,1,"Lingnan Fine Arts Museum | Taipei | Postawele | Wrzosówka, Świętokrzyskie Voivodeship | Synkowce",Lingnan Fine Arts Museum | Taipei
train,Rewrite-all keyword,5a89b1de5542992e4fca8378,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,keyword_compress,1.0,1.0,1.0,1.48,0.02,2,"Lingnan Fine Arts Museum | Taipei | Wrzosówka, Świętokrzyskie Voivodeship | Postawele | Synkowce",Lingnan Fine Arts Museum | Taipei
train,Rewrite-all entity,5a89b1de5542992e4fca8378,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,entity_expand,1.0,1.0,1.0,1.46,0.04,2,"Lingnan Fine Arts Museum | Taipei | Wrzosówka, Świętokrzyskie Voivodeship | Postawele | Synkowce",Lingnan Fine Arts Museum | Taipei
train,Train-best fixed trace,5a89b1de5542992e4fca8378,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,keyword_compress -> stop,1.0,1.0,1.0,1.48,0.02,2,"Lingnan Fine Arts Museum | Taipei | Wrzosówka, Świętokrzyskie Voivodeship | Postawele | Synkowce",Lingnan Fine Arts Museum | Taipei
train,Multi-step FQI,5a89b1de5542992e4fca8378,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,stop,1.0,1.0,1.0,1.5,0.0,1,"Lingnan Fine Arts Museum | Taipei | Postawele | Wrzosówka, Świętokrzyskie Voivodeship | Synkowce",Lingnan Fine Arts Museum | Taipei
